412,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
412,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014 (continued)"
412,"t","[For meaning of abbreviations and symbols, see introductory text.]"
412,"h","","","","","","",""
412,"h","Item","","South Dakota","Tennessee","Texas","Utah","Vermont"
412,"h","","","","","","",""
412,"d","Total organic production expenses","farms",78,30,178,60,506
412,"d","","$1,000","(D)",2353,147758,12983,61943
412,"d","    Average per farm","dollars","(D)",78445,830103,216380,122418
412,"d","","",,,,,
412,"d","  Organic certification expense","farms",78,30,178,60,506
412,"d","","$1,000",112,33,405,105,406
412,"d","  Fertilizer, lime, and soil conditioners","farms",34,24,134,17,270
412,"d","","$1,000","(D)",200,5202,102,1794
412,"d","  Agricultural chemicals, beneficial insects,","",,,,,
412,"d","   and other organic materials for pest","",,,,,
412,"d","   control","farms",10,16,80,32,147
412,"d","","$1,000",46,21,865,"(D)","(D)"
412,"d","  Gasoline, diesel, fuels, and oils","",,,,,
412,"d","   purchased for the farm business","farms",76,30,174,53,468
412,"d","","$1,000","(D)",161,5447,1170,4555
412,"d","  Seed, plants, vines, trees, etc.","",,,,,
412,"d","   purchased","farms",60,23,138,39,252
412,"d","","$1,000",907,111,4325,315,1399
412,"d","","",,,,,
412,"d","  Hired agricultural labor including","",,,,,
412,"d","   contract labor (include wages","",,,,,
412,"d","   and benefit expenses)","farms",41,23,149,38,340
412,"d","","$1,000","(D)",592,20724,1619,12600
412,"d","  Livestock purchased or leased","",,,,,
412,"d","   (see text)","farms",7,4,13,5,56
412,"d","","$1,000",251,"(D)",9068,642,401
412,"d","  Feed purchased for livestock and","",,,,,
412,"d","   poultry","farms",8,7,20,11,189
412,"d","","$1,000",188,477,65401,"(D)",13995
412,"d","  Interest paid on all debt related to the","",,,,,
412,"d","   farm business","farms",56,7,117,22,256
412,"d","","$1,000",565,24,5549,215,2643
412,"d","  Property taxes paid in 2014","farms",66,21,123,52,433
412,"d","","$1,000","(D)",32,770,132,2258
412,"d","","",,,,,
412,"d","  Rent and lease expenses for land,","",,,,,
412,"d","   buildings, machinery, etc. - including","",,,,,
412,"d","   grazing fees","farms",39,14,85,24,211
412,"d","","$1,000","(D)","(D)",4495,746,1732
412,"d","  Customwork such as custom","",,,,,
412,"d","   hauling, custom planting, custom","",,,,,
412,"d","   harvesting, etc.","farms",30,9,99,10,191
412,"d","","$1,000","(D)","(D)",4088,402,"(D)"
412,"d","  Repairs, supplies, and maintenance","",,,,,
412,"d","   costs","farms",75,22,163,47,443
412,"d","","$1,000","(D)",325,7529,890,7064
412,"d","  Utilities expense (including water","",,,,,
412,"d","   purchased)","farms",65,20,153,44,423
412,"d","","$1,000","(D)",43,7067,344,2793
412,"d","  All other production expenses - Include","",,,,,
412,"d","   animal health cost, storage, marketing","",,,,,
412,"d","   expenses, etc. (see text)","farms",39,16,96,40,352
412,"d","","$1,000","(D)","(D)",6823,862,8098
412,"c",""
412,"c","--continued"
