413,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
413,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014 (continued)"
413,"t","[For meaning of abbreviations and symbols, see introductory text.]"
413,"h","","","","","","",""
413,"h","Item","","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
413,"h","","","","","","",""
413,"d","Total organic production expenses","farms",139,643,9,1128,49
413,"d","","$1,000",23536,347302,"(D)",136076,8634
413,"d","    Average per farm","dollars",169326,540127,"(D)",120635,176206
413,"d","","",,,,,
413,"d","  Organic certification expense","farms",139,643,9,1128,49
413,"d","","$1,000",202,1192,7,1398,75
413,"d","  Fertilizer, lime, and soil conditioners","farms",116,461,7,878,15
413,"d","","$1,000",2291,12404,"(D)",8617,"(D)"
413,"d","  Agricultural chemicals, beneficial insects,","",,,,,
413,"d","   and other organic materials for pest","",,,,,
413,"d","   control","farms",95,400,2,340,9
413,"d","","$1,000",977,16594,"(D)",739,"(D)"
413,"d","  Gasoline, diesel, fuels, and oils","",,,,,
413,"d","   purchased for the farm business","farms",136,618,9,1077,47
413,"d","","$1,000",2134,9604,"(D)",8072,1299
413,"d","  Seed, plants, vines, trees, etc.","",,,,,
413,"d","   purchased","farms",120,383,5,948,31
413,"d","","$1,000",1055,5322,49,6611,364
413,"d","","",,,,,
413,"d","  Hired agricultural labor including","",,,,,
413,"d","   contract labor (include wages","",,,,,
413,"d","   and benefit expenses)","farms",98,486,5,600,31
413,"d","","$1,000",6985,112436,"(D)",18287,1782
413,"d","  Livestock purchased or leased","",,,,,
413,"d","   (see text)","farms",7,44,-,205,8
413,"d","","$1,000",28,5215,-,3763,260
413,"d","  Feed purchased for livestock and","",,,,,
413,"d","   poultry","farms",20,84,6,520,8
413,"d","","$1,000",1864,68957,"(D)",33745,203
413,"d","  Interest paid on all debt related to the","",,,,,
413,"d","   farm business","farms",55,276,2,705,28
413,"d","","$1,000",939,7560,"(D)",7092,372
413,"d","  Property taxes paid in 2014","farms",112,565,9,1022,44
413,"d","","$1,000","(D)",3251,14,3853,211
413,"d","","",,,,,
413,"d","  Rent and lease expenses for land,","",,,,,
413,"d","   buildings, machinery, etc. - including","",,,,,
413,"d","   grazing fees","farms",70,239,1,591,26
413,"d","","$1,000","(D)",14417,"(D)",8483,879
413,"d","  Customwork such as custom","",,,,,
413,"d","   hauling, custom planting, custom","",,,,,
413,"d","   harvesting, etc.","farms",47,243,1,554,27
413,"d","","$1,000",452,9766,"(D)",4225,421
413,"d","  Repairs, supplies, and maintenance","",,,,,
413,"d","   costs","farms",129,571,8,1023,49
413,"d","","$1,000",2522,19596,"(D)",14429,1486
413,"d","  Utilities expense (including water","",,,,,
413,"d","   purchased)","farms",113,511,6,804,31
413,"d","","$1,000",798,18884,"(D)",4525,284
413,"d","  All other production expenses - Include","",,,,,
413,"d","   animal health cost, storage, marketing","",,,,,
413,"d","   expenses, etc. (see text)","farms",86,417,6,762,25
413,"d","","$1,000",2276,42103,53,12236,769
413,"c",""
