414,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
414,"t","Table 47.  Production Practices – Certified Organic Farms:  2014"
414,"t","[For meaning of abbreviations and symbols, see introductory text.]"
414,"h","","","","","","",""
414,"h","","Practiced","Released","Maintained","Selected planting","Chose pest","Planned plantings"
414,"h","","biological","beneficial","beneficial insect/","locations to","resistant","to avoid cross-"
414,"h","","pest management","organisms","vertebrate habitat","avoid pests","varieties","contamination"
414,"h","Geographic area","(farms)","(farms)","(farms)","(farms)","(farms)","(farms)"
414,"h","","","","","","",""
414,"d","United States",4200,2245,4189,4600,4361,3650
414,"d","",,,,,,
414,"d","Alabama",11,2,8,11,12,8
414,"d","Alaska",2,4,2,2,2,-
414,"d","Arizona",29,11,25,20,14,9
414,"d","Arkansas",18,6,9,16,19,6
414,"d","California",1061,681,1109,722,702,342
414,"d","",,,,,,
414,"d","Colorado",55,38,56,66,51,32
414,"d","Connecticut",30,21,44,55,55,25
414,"d","Delaware",5,3,3,6,6,6
414,"d","Florida",55,34,75,66,69,35
414,"d","Georgia",49,30,43,66,55,40
414,"d","",,,,,,
414,"d","Hawaii",51,34,59,53,46,21
414,"d","Idaho",50,24,30,53,54,45
414,"d","Illinois",84,40,65,97,92,114
414,"d","Indiana",42,16,41,62,56,96
414,"d","Iowa",112,25,82,155,166,254
414,"d","",,,,,,
414,"d","Kansas",14,11,28,39,31,34
414,"d","Kentucky",44,20,35,34,31,19
414,"d","Louisiana",4,4,4,4,4,4
414,"d","Maine",173,67,144,218,180,110
414,"d","Maryland",48,29,54,58,54,51
414,"d","",,,,,,
414,"d","Massachusetts",52,42,64,84,74,43
414,"d","Michigan",78,36,90,94,80,89
414,"d","Minnesota",80,27,124,153,194,225
414,"d","Mississippi",-,-,2,2,2,2
414,"d","Missouri",38,20,43,52,48,70
414,"d","",,,,,,
414,"d","Montana",49,28,57,54,73,51
414,"d","Nebraska",42,14,54,65,74,79
414,"d","Nevada",18,5,22,25,15,7
414,"d","New Hampshire",46,31,38,66,61,37
414,"d","New Jersey",24,13,43,45,43,26
414,"d","",,,,,,
414,"d","New Mexico",46,30,51,50,50,30
414,"d","New York",212,116,187,287,270,268
414,"d","North Carolina",90,48,114,105,113,76
414,"d","North Dakota",16,10,17,43,29,48
414,"d","Ohio",115,53,93,161,179,171
414,"d","",,,,,,
414,"d","Oklahoma",16,9,11,14,15,11
414,"d","Oregon",196,107,194,168,169,104
414,"d","Pennsylvania",233,106,172,281,262,299
414,"d","Rhode Island",7,7,10,21,23,17
414,"d","South Carolina",17,2,17,22,20,18
414,"d","",,,,,,
414,"d","South Dakota",19,7,19,35,27,47
414,"d","Tennessee",9,5,14,11,13,6
414,"d","Texas",47,34,49,57,58,58
414,"d","Utah",13,10,19,16,15,12
414,"d","Vermont",127,88,134,131,134,84
414,"d","",,,,,,
414,"d","Virginia",63,35,83,66,80,48
414,"d","Washington",321,158,315,233,181,81
414,"d","West Virginia",2,2,6,4,5,2
414,"d","Wisconsin",282,100,225,443,346,386
414,"d","Wyoming",5,2,6,9,9,4
414,"c",""
414,"c","--continued"
