415,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
415,"t","Table 47.  Production Practices – Certified Organic Farms:  2014 (continued)"
415,"t","[For meaning of abbreviations and symbols, see introductory text.]"
415,"h","","","","","","","",""
415,"h","","Produced or","Used green","Used","Maintained","Used water","Practiced free-","Practiced"
415,"h","","used organic","or animal","no-till","buffer","management","range livestock","rotational"
415,"h","","mulch/compost","manures","or minimum till","strips","practices","production","grazing"
415,"h","Geographic area","(farms)","(farms)","(farms)","(farms)","(farms)","(farms)","(farms)"
415,"h","","","","","","","",""
415,"d","United States",5962,8400,4881,8658,6695,1768,2858
415,"d","",,,,,,,
415,"d","Alabama",12,7,6,14,11,1,1
415,"d","Alaska",4,4,4,-,4,-,-
415,"d","Arizona",43,33,26,23,40,-,2
415,"d","Arkansas",20,17,12,8,20,1,1
415,"d","California",1525,1177,1235,1477,2006,130,159
415,"d","",,,,,,,
415,"d","Colorado",66,79,52,94,85,12,11
415,"d","Connecticut",71,48,45,37,44,5,3
415,"d","Delaware",-,3,3,6,6,-,1
415,"d","Florida",84,64,64,96,114,5,4
415,"d","Georgia",64,62,41,52,68,6,6
415,"d","",,,,,,,
415,"d","Hawaii",81,67,66,75,66,9,8
415,"d","Idaho",63,73,76,108,105,18,21
415,"d","Illinois",83,173,69,190,87,31,37
415,"d","Indiana",47,220,56,188,54,75,140
415,"d","Iowa",202,489,166,521,209,109,111
415,"d","",,,,,,,
415,"d","Kansas",30,57,33,67,30,6,5
415,"d","Kentucky",39,68,39,59,50,15,35
415,"d","Louisiana",3,8,4,10,5,3,3
415,"d","Maine",245,299,182,170,169,97,118
415,"d","Maryland",58,74,42,83,70,13,23
415,"d","",,,,,,,
415,"d","Massachusetts",90,90,63,64,90,17,18
415,"d","Michigan",126,222,67,228,89,29,63
415,"d","Minnesota",161,414,189,429,179,77,139
415,"d","Mississippi",4,2,-,2,4,-,-
415,"d","Missouri",55,131,61,142,59,30,26
415,"d","",,,,,,,
415,"d","Montana",48,96,56,103,56,36,35
415,"d","Nebraska",54,102,54,141,93,19,20
415,"d","Nevada",23,27,20,23,32,-,-
415,"d","New Hampshire",87,77,50,47,57,19,22
415,"d","New Jersey",36,45,28,46,39,8,8
415,"d","",,,,,,,
415,"d","New Mexico",70,78,64,66,83,20,14
415,"d","New York",374,703,271,571,303,190,428
415,"d","North Carolina",81,102,81,139,125,19,22
415,"d","North Dakota",21,55,23,83,12,2,4
415,"d","Ohio",184,428,132,419,197,107,215
415,"d","",,,,,,,
415,"d","Oklahoma",16,23,16,23,22,6,7
415,"d","Oregon",249,242,202,295,334,38,66
415,"d","Pennsylvania",219,535,220,504,294,158,285
415,"d","Rhode Island",21,18,16,17,21,-,-
415,"d","South Carolina",28,20,14,25,14,2,2
415,"d","",,,,,,,
415,"d","South Dakota",14,60,25,73,16,7,8
415,"d","Tennessee",15,26,12,25,21,4,7
415,"d","Texas",82,102,56,113,126,18,19
415,"d","Utah",16,26,19,33,32,7,7
415,"d","Vermont",249,353,163,283,181,81,196
415,"d","",,,,,,,
415,"d","Virginia",61,74,64,93,92,16,22
415,"d","Washington",374,337,330,420,452,43,61
415,"d","West Virginia",6,4,4,4,4,6,6
415,"d","Wisconsin",449,969,351,938,405,264,463
415,"d","Wyoming",9,17,9,31,20,9,6
415,"c",""
