429,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
429,"t","Table 49.  Production Contracts for Organic Products – Certified Organic Farms:  2014"
429,"t","[For meaning of abbreviations and symbols, see introductory text.]"
429,"h","","","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts"
429,"h","","","","","","",""
429,"h","Geographic","","Less than","25 to 49","50 to 74","75 to 99","100"
429,"h","area","Farms","25 percent","percent","percent","percent","percent"
429,"h","","","","","","",""
429,"d","United States",1414,150,131,189,189,755
429,"d","",,,,,,
429,"d","Alabama",3,-,-,3,-,-
429,"d","Arizona",16,4,-,-,1,11
429,"d","Arkansas",1,-,-,1,-,-
429,"d","California",281,15,15,11,30,210
429,"d","Colorado",18,4,2,-,3,9
429,"d","",,,,,,
429,"d","Delaware",1,-,-,1,-,-
429,"d","Florida",4,-,-,-,3,1
429,"d","Georgia",3,-,-,-,3,-
429,"d","Idaho",16,2,1,6,4,3
429,"d","Illinois",49,3,9,9,9,19
429,"d","",,,,,,
429,"d","Indiana",6,-,2,-,2,2
429,"d","Iowa",112,14,13,22,9,54
429,"d","Kansas",9,3,-,1,-,5
429,"d","Kentucky",9,-,-,3,-,6
429,"d","Maine",29,6,2,2,2,17
429,"d","",,,,,,
429,"d","Maryland",8,-,2,2,2,2
429,"d","Massachusetts",3,-,-,2,-,1
429,"d","Michigan",70,5,6,13,11,35
429,"d","Minnesota",107,17,21,30,9,30
429,"d","Missouri",47,-,6,8,7,26
429,"d","",,,,,,
429,"d","Montana",44,3,4,7,9,21
429,"d","Nebraska",29,4,2,9,4,10
429,"d","New Hampshire",9,2,2,-,2,3
429,"d","New Mexico",2,-,-,-,-,2
429,"d","New York",54,10,5,6,5,28
429,"d","",,,,,,
429,"d","North Carolina",50,-,-,4,3,43
429,"d","North Dakota",33,1,3,3,7,19
429,"d","Ohio",32,7,7,4,5,9
429,"d","Oklahoma",1,1,-,-,-,-
429,"d","Oregon",42,11,5,5,6,15
429,"d","",,,,,,
429,"d","Pennsylvania",55,1,2,2,10,40
429,"d","South Carolina",2,-,-,-,2,-
429,"d","South Dakota",19,7,2,2,6,2
429,"d","Tennessee",3,-,-,-,2,1
429,"d","Texas",41,1,1,5,3,31
429,"d","",,,,,,
429,"d","Utah",2,-,-,-,1,1
429,"d","Vermont",12,4,1,2,2,3
429,"d","Virginia",33,5,-,1,7,20
429,"d","Washington",47,7,1,6,9,24
429,"d","Wisconsin",98,13,16,19,8,42
429,"d","Wyoming",14,-,1,-,3,10
429,"c",""
