430,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
430,"t","Table 50.  Primary Production Challenge – Certified Organic Farms:  2014"
430,"t","[For meaning of abbreviations and symbols, see introductory text.]"
430,"h","","","","","","",""
430,"h","","Regulatory problems","Regulatory problems","Price issues","Price issues","Production problems","Production problems"
430,"h","","","","","","",""
430,"h","Geographic","","Percent of","","Percent of","","Percent of"
430,"h","area","Farms","farms","Farms","farms","Farms","farms"
430,"h","","","","","","",""
430,"d","United States",3929,35,847,7,2356,21
430,"d","",,,,,,
430,"d","Alabama",4,31,-,-,7,54
430,"d","Alaska",2,50,-,-,-,-
430,"d","Arizona",16,29,7,13,20,37
430,"d","Arkansas",2,9,2,10,7,33
430,"d","California",846,38,217,9,537,23
430,"d","",,,,,,
430,"d","Colorado",37,30,7,5,39,31
430,"d","Connecticut",25,36,8,12,14,20
430,"d","Delaware",5,83,-,-,-,-
430,"d","Florida",33,28,18,17,26,22
430,"d","Georgia",6,8,6,8,29,39
430,"d","",,,,,,
430,"d","Hawaii",39,36,5,4,24,22
430,"d","Idaho",51,38,7,5,35,26
430,"d","Illinois",62,29,8,4,54,25
430,"d","Indiana",109,51,8,4,44,21
430,"d","Iowa",212,40,25,5,109,21
430,"d","",,,,,,
430,"d","Kansas",25,36,1,1,12,17
430,"d","Kentucky",19,24,4,5,11,14
430,"d","Louisiana",7,58,-,-,-,-
430,"d","Maine",93,24,23,6,63,16
430,"d","Maryland",27,27,-,-,11,11
430,"d","",,,,,,
430,"d","Massachusetts",22,19,13,11,23,19
430,"d","Michigan",58,23,7,3,57,22
430,"d","Minnesota",121,27,36,8,111,25
430,"d","Mississippi",1,13,2,25,1,12
430,"d","Missouri",57,31,9,5,44,24
430,"d","",,,,,,
430,"d","Montana",28,22,8,6,24,19
430,"d","Nebraska",35,24,13,9,34,23
430,"d","Nevada",8,22,-,-,7,18
430,"d","New Hampshire",34,33,13,12,11,11
430,"d","New Jersey",11,21,1,2,10,19
430,"d","",,,,,,
430,"d","New Mexico",38,37,8,8,9,9
430,"d","New York",284,37,64,8,149,20
430,"d","North Carolina",63,36,17,10,48,27
430,"d","North Dakota",20,25,7,9,25,31
430,"d","Ohio",197,45,18,4,65,15
430,"d","",,,,,,
430,"d","Oklahoma",16,47,2,6,3,9
430,"d","Oregon",116,29,36,9,106,26
430,"d","Pennsylvania",265,45,30,5,93,16
430,"d","Rhode Island",4,17,-,-,6,26
430,"d","South Carolina",10,31,2,6,-,-
430,"d","",,,,,,
430,"d","South Dakota",20,29,3,4,19,27
430,"d","Tennessee",9,32,5,18,5,18
430,"d","Texas",48,34,10,7,22,16
430,"d","Utah",34,64,-,-,7,13
430,"d","Vermont",152,32,69,15,65,14
430,"d","",,,,,,
430,"d","Virginia",60,46,2,2,20,15
430,"d","Washington",213,38,35,6,93,17
430,"d","West Virginia",2,22,-,-,6,67
430,"d","Wisconsin",365,36,86,8,236,23
430,"d","Wyoming",18,37,5,10,15,31
430,"c",""
430,"c","--continued"
