432,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
432,"t","Table 51.  Years Involved in Agricultural Production – Certified Organic Farms:  2014"
432,"t","[For meaning of abbreviations and symbols, see introductory text.]"
432,"h","","","","","","","",""
432,"h","","","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production"
432,"h","","","","","","","",""
432,"h","Geographic","","Less than 10","10 to 19","20 to 29","30 to 39","40 to 49","50 or more"
432,"h","area","Farms","years","years","years","years","years","years"
432,"h","","","","","","","",""
432,"d","United States",12634,28,25,18,14,8,7
432,"d","",,,,,,,
432,"d","Alabama",15,47,7,33,13,-,-
432,"d","Alaska",7,29,43,29,-,-,-
432,"d","Arizona",61,34,26,15,16,5,3
432,"d","Arkansas",26,50,8,27,8,8,-
432,"d","California",2632,24,29,17,15,7,8
432,"d","",,,,,,,
432,"d","Colorado",134,28,29,15,13,7,7
432,"d","Connecticut",78,45,33,15,4,3,-
432,"d","Delaware",6,50,33,-,-,-,17
432,"d","Florida",146,27,27,30,8,5,3
432,"d","Georgia",86,51,26,12,3,6,2
432,"d","",,,,,,,
432,"d","Hawaii",121,25,37,17,18,2,-
432,"d","Idaho",151,19,22,23,17,5,14
432,"d","Illinois",215,27,23,20,19,8,4
432,"d","Indiana",251,35,25,20,8,4,7
432,"d","Iowa",593,26,30,18,12,8,6
432,"d","",,,,,,,
432,"d","Kansas",77,18,25,18,22,8,9
432,"d","Kentucky",86,42,33,6,8,8,3
432,"d","Louisiana",14,57,-,29,-,-,14
432,"d","Maine",444,35,24,18,12,6,5
432,"d","Maryland",110,23,44,15,11,2,6
432,"d","",,,,,,,
432,"d","Massachusetts",131,34,22,18,15,8,2
432,"d","Michigan",288,29,21,20,14,10,6
432,"d","Minnesota",475,23,23,14,19,13,8
432,"d","Mississippi",8,13,25,-,50,-,13
432,"d","Missouri",184,36,21,14,15,10,4
432,"d","",,,,,,,
432,"d","Montana",138,25,30,14,11,9,11
432,"d","Nebraska",166,20,19,19,19,13,10
432,"d","Nevada",45,31,13,27,2,4,22
432,"d","New Hampshire",112,42,26,13,13,4,1
432,"d","New Jersey",60,35,32,17,8,2,7
432,"d","",,,,,,,
432,"d","New Mexico",105,36,27,14,17,-,6
432,"d","New York",855,38,22,15,11,7,8
432,"d","North Carolina",200,29,22,15,15,18,3
432,"d","North Dakota",94,18,24,12,26,15,5
432,"d","Ohio",499,30,22,19,15,8,6
432,"d","",,,,,,,
432,"d","Oklahoma",35,37,29,17,-,14,3
432,"d","Oregon",455,22,24,23,14,9,9
432,"d","Pennsylvania",653,32,27,23,9,4,6
432,"d","Rhode Island",23,43,39,9,9,-,-
432,"d","South Carolina",35,43,26,11,11,-,9
432,"d","",,,,,,,
432,"d","South Dakota",78,14,9,18,17,23,19
432,"d","Tennessee",30,43,10,20,13,10,3
432,"d","Texas",178,28,21,29,11,6,5
432,"d","Utah",60,23,30,10,7,12,18
432,"d","Vermont",506,27,19,19,18,6,10
432,"d","",,,,,,,
432,"d","Virginia",139,41,22,12,10,11,4
432,"d","Washington",643,25,23,19,15,9,9
432,"d","West Virginia",9,-,44,22,-,22,11
432,"d","Wisconsin",1128,23,25,17,18,9,7
432,"d","Wyoming",49,14,31,16,16,14,8
432,"c",""
