436,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
436,"t","Table 54.  Net Household Income from Organic Sales – Certified Organic Farms:  2014"
436,"t","[For meaning of abbreviations and symbols, see introductory text.]"
436,"h","","","","","","",""
436,"h","","","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales"
436,"h","","","","","","",""
436,"h","Geographic","","Less than","25 to 49","50 to 74","75 to 99","100"
436,"h","area","Farms","25 percent","percent","percent","percent","percent"
436,"h","","","","","","",""
436,"d","United States",12634,29,18,18,16,19
436,"d","",,,,,,
436,"d","Alabama",15,73,-,13,7,7
436,"d","Alaska",7,57,-,14,29,-
436,"d","Arizona",61,31,23,18,3,25
436,"d","Arkansas",26,19,-,19,31,31
436,"d","California",2632,38,22,18,8,14
436,"d","",,,,,,
436,"d","Colorado",134,34,13,19,19,15
436,"d","Connecticut",78,62,3,11,4,20
436,"d","Delaware",6,-,50,33,17,-
436,"d","Florida",146,44,14,15,4,23
436,"d","Georgia",86,38,19,20,6,17
436,"d","",,,,,,
436,"d","Hawaii",121,38,27,7,7,21
436,"d","Idaho",151,27,11,26,13,23
436,"d","Illinois",215,26,26,20,15,13
436,"d","Indiana",251,15,21,18,23,23
436,"d","Iowa",593,22,19,27,17,15
436,"d","",,,,,,
436,"d","Kansas",77,27,40,10,9,14
436,"d","Kentucky",86,44,10,22,15,9
436,"d","Louisiana",14,57,21,-,8,14
436,"d","Maine",444,36,11,11,17,25
436,"d","Maryland",110,48,14,17,11,10
436,"d","",,,,,,
436,"d","Massachusetts",131,47,11,16,9,17
436,"d","Michigan",288,25,18,18,19,20
436,"d","Minnesota",475,21,27,20,19,13
436,"d","Mississippi",8,62,-,13,-,25
436,"d","Missouri",184,30,17,24,17,12
436,"d","",,,,,,
436,"d","Montana",138,30,10,11,26,23
436,"d","Nebraska",166,23,17,26,14,20
436,"d","Nevada",45,29,22,18,4,27
436,"d","New Hampshire",112,52,12,6,16,14
436,"d","New Jersey",60,50,8,7,17,18
436,"d","",,,,,,
436,"d","New Mexico",105,41,15,17,15,12
436,"d","New York",855,21,13,15,24,27
436,"d","North Carolina",200,28,20,17,15,20
436,"d","North Dakota",94,21,35,13,19,12
436,"d","Ohio",499,14,21,15,23,27
436,"d","",,,,,,
436,"d","Oklahoma",35,43,20,11,6,20
436,"d","Oregon",455,35,18,15,9,23
436,"d","Pennsylvania",653,16,8,23,24,29
436,"d","Rhode Island",23,35,39,-,-,26
436,"d","South Carolina",35,43,31,11,9,6
436,"d","",,,,,,
436,"d","South Dakota",78,22,31,17,19,11
436,"d","Tennessee",30,40,7,17,13,23
436,"d","Texas",178,25,14,27,9,25
436,"d","Utah",60,33,20,13,21,13
436,"d","Vermont",506,25,13,19,18,25
436,"d","",,,,,,
436,"d","Virginia",139,24,19,18,18,21
436,"d","Washington",643,38,17,15,8,22
436,"d","West Virginia",9,33,56,-,11,-
436,"d","Wisconsin",1128,21,16,19,24,20
436,"d","Wyoming",49,14,16,28,22,20
436,"c",""
