440,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
440,"t","Table 58.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Exempt Organic Farms:  2014"
440,"t","[For meaning of abbreviations and symbols, see introductory text.]"
440,"h","","","","","","",""
440,"h","","","","","Value of sales","Value of sales","Value of sales"
440,"h","","","","","","",""
440,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
440,"h","","","","","","",""
440,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
440,"h","","","","","","",""
440,"d","ALL VEGETABLES, POTATOES,",,,,,,
440,"d"," AND MELONS",,,,,,
440,"d","",,,,,,
440,"d","United States",666,654,"(X)",664,"(X)",1935984
440,"d","",,,,,,
440,"d","Alabama",9,7,"(X)",9,"(X)",44010
440,"d","Alaska",6,8,"(X)",6,"(X)",16425
440,"d","Arkansas",2,"(D)","(X)",2,"(X)","(D)"
440,"d","California",35,32,"(X)",35,"(X)",121523
440,"d","Colorado",8,2,"(X)",8,"(X)",6890
440,"d","",,,,,,
440,"d","Connecticut",27,25,"(X)",27,"(X)",57502
440,"d","Delaware",1,"(D)","(X)",1,"(X)","(D)"
440,"d","Florida",5,2,"(X)",5,"(X)",14334
440,"d","Georgia",23,30,"(X)",23,"(X)",117015
440,"d","Hawaii",5,3,"(X)",5,"(X)",5548
440,"d","",,,,,,
440,"d","Idaho",2,"(D)","(X)",2,"(X)","(D)"
440,"d","Illinois",17,22,"(X)",17,"(X)",29115
440,"d","Indiana",8,10,"(X)",8,"(X)",78397
440,"d","Iowa",15,37,"(X)",15,"(X)",76604
440,"d","Kansas",4,"(D)","(X)",4,"(X)","(D)"
440,"d","",,,,,,
440,"d","Kentucky",14,16,"(X)",14,"(X)",40660
440,"d","Louisiana",2,"(D)","(X)",2,"(X)","(D)"
440,"d","Maine",29,20,"(X)",29,"(X)",116105
440,"d","Maryland",6,2,"(X)",6,"(X)",15068
440,"d","Massachusetts",26,14,"(X)",26,"(X)",68263
440,"d","",,,,,,
440,"d","Michigan",25,35,"(X)",25,"(X)",39777
440,"d","Minnesota",18,17,"(X)",16,"(X)",39866
440,"d","Missouri",14,9,"(X)",14,"(X)",20856
440,"d","Montana",6,7,"(X)",6,"(X)",7940
440,"d","Nevada",1,"(D)","(X)",1,"(X)","(D)"
440,"d","",,,,,,
440,"d","New Hampshire",33,14,"(X)",33,"(X)",34016
440,"d","New Jersey",18,23,"(X)",18,"(X)",84040
440,"d","New Mexico",4,4,"(X)",4,"(X)",12800
440,"d","New York",40,67,"(X)",40,"(X)",126727
440,"d","North Carolina",47,37,"(X)",47,"(X)",135636
440,"d","",,,,,,
440,"d","Ohio",23,30,"(X)",23,"(X)",38016
440,"d","Oklahoma",4,2,"(X)",4,"(X)","(D)"
440,"d","Oregon",34,21,"(X)",34,"(X)",80272
440,"d","Pennsylvania",8,15,"(X)",8,"(X)",26200
440,"d","Rhode Island",1,"(D)","(X)",1,"(X)","(D)"
440,"d","",,,,,,
440,"d","South Carolina",5,2,"(X)",5,"(X)",40886
440,"d","South Dakota",1,"(D)","(X)",1,"(X)","(D)"
440,"d","Tennessee",13,4,"(X)",13,"(X)",12696
440,"d","Texas",30,37,"(X)",30,"(X)",178473
440,"d","Vermont",2,"(D)","(X)",2,"(X)","(D)"
440,"d","",,,,,,
440,"d","Virginia",13,6,"(X)",13,"(X)",14497
440,"d","Washington",31,28,"(X)",31,"(X)",73791
440,"d","West Virginia",11,"(D)","(X)",11,"(X)",29944
440,"d","Wisconsin",40,40,"(X)",40,"(X)",92194
440,"d","",,,,,,
440,"d","ARTICHOKES (CWT)",,,,,,
440,"d","",,,,,,
440,"d","United States",3,"(Z)",143,3,140,4113
440,"d","",,,,,,
440,"d","Georgia",3,"(Z)",143,3,140,4113
440,"d","",,,,,,
440,"d","BEANS, SNAP, FRESH (CWT)",,,,,,
440,"d","",,,,,,
440,"d","United States",128,32,855,126,579,76983
440,"d","",,,,,,
440,"d","California",7,1,47,7,47,5571
440,"d","Colorado",3,"(Z)",8,3,8,450
440,"c",""
440,"c","--continued"
