448,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
448,"t","Table 58.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Exempt Organic Farms:  2014 (continued)"
448,"t","[For meaning of abbreviations and symbols, see introductory text.]"
448,"h","","","","","","",""
448,"h","","","","","Value of sales","Value of sales","Value of sales"
448,"h","","","","","","",""
448,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
448,"h","","","","","","",""
448,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
448,"h","","","","","","",""
448,"d","GARLIC (CWT) - Con.",,,,,,
448,"d","",,,,,,
448,"d","Texas",7,1,11,7,11,2521
448,"d","Virginia",3,"(Z)",3,3,3,1500
448,"d","Washington",7,2,20,7,8,2297
448,"d","West Virginia",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Wisconsin",8,9,111,8,35,20006
448,"d","",,,,,,
448,"d","HERBS, FRESH CUT (POUNDS)",,,,,,
448,"d","",,,,,,
448,"d","United States",59,23,19350,59,18611,47878
448,"d","",,,,,,
448,"d","Alabama",2,"(D)","(D)",2,"(D)","(D)"
448,"d","California",4,11,10604,4,10604,10728
448,"d","Georgia",3,"(D)","(D)",3,"(D)","(D)"
448,"d","Iowa",1,"(D)","(D)",1,"(D)","(D)"
448,"d","Kentucky",4,"(D)","(D)",4,"(D)","(D)"
448,"d","",,,,,,
448,"d","Michigan",5,2,270,5,268,"(D)"
448,"d","Minnesota",1,"(D)","(D)",1,"(D)","(D)"
448,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
448,"d","New York",3,2,"(D)",3,114,460
448,"d","",,,,,,
448,"d","North Carolina",4,"(Z)",158,4,158,996
448,"d","Ohio",7,1,268,7,65,332
448,"d","Oregon",3,"(Z)",2469,3,2469,12213
448,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Tennessee",4,1,151,4,57,200
448,"d","",,,,,,
448,"d","Texas",3,"(Z)",60,3,60,342
448,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Virginia",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Washington",3,1,150,3,150,750
448,"d","Wisconsin",2,"(D)","(D)",2,"(D)","(D)"
448,"d","",,,,,,
448,"d","HONEYDEW MELONS (CWT)",,,,,,
448,"d","",,,,,,
448,"d","United States",10,"(D)",32,10,32,2361
448,"d","",,,,,,
448,"d","California",2,"(D)","(D)",2,"(D)","(D)"
448,"d","North Carolina",1,"(D)","(D)",1,"(D)","(D)"
448,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
448,"d","South Carolina",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Texas",3,1,3,3,3,225
448,"d","",,,,,,
448,"d","LETTUCE, ALL (CWT)",,,,,,
448,"d","",,,,,,
448,"d","United States",129,23,732,129,495,57678
448,"d","",,,,,,
448,"d","Connecticut",5,1,9,5,9,1575
448,"d","Georgia",6,1,60,6,38,3808
448,"d","Hawaii",1,"(D)","(D)",1,"(D)","(D)"
448,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Illinois",3,"(Z)",6,3,6,"(D)"
448,"d","",,,,,,
448,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Kentucky",1,"(D)","(D)",1,"(D)","(D)"
448,"d","Maine",11,1,34,11,34,6762
448,"d","Massachusetts",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Michigan",13,2,41,13,10,3216
448,"d","",,,,,,
448,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
448,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
448,"d","New Hampshire",12,1,6,12,6,1468
448,"d","New Jersey",4,2,159,4,49,"(D)"
448,"d","",,,,,,
448,"d","New York",4,3,98,4,98,2278
448,"d","North Carolina",10,2,19,10,16,3958
448,"c",""
448,"c","--continued"
