461,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
461,"t","Table 58.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Exempt Organic Farms:  2014 (continued)"
461,"t","[For meaning of abbreviations and symbols, see introductory text.]"
461,"h","","","","","","",""
461,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
461,"h","","","","","","",""
461,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
461,"h","","","","","","",""
461,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
461,"h","","","","","","",""
461,"d","TOMATOES, FRESH (CWT) - Con.",,,,,,
461,"d","",,,,,,
461,"d","New York",19,96,13492,7,93,7530
461,"d","North Carolina",20,225,39758,-,-,-
461,"d","Ohio",17,77,10478,4,30,1526
461,"d","Oklahoma",4,14,2800,-,-,-
461,"d","Oregon",18,"(D)","(D)",2,"(D)","(D)"
461,"d","",,,,,,
461,"d","Pennsylvania",2,"(D)","(D)",1,"(D)","(D)"
461,"d","South Carolina",3,20,3981,3,57,11388
461,"d","Tennessee",4,8,1150,-,-,-
461,"d","Texas",16,216,"(D)",6,3,"(D)"
461,"d","Virginia",5,11,2650,-,-,-
461,"d","",,,,,,
461,"d","Washington",16,66,11201,-,-,-
461,"d","West Virginia",5,15,2765,-,-,-
461,"d","Wisconsin",12,"(D)","(D)",2,"(D)","(D)"
461,"d","",,,,,,
461,"d","TOMATOES,",,,,,,
461,"d"," PROCESSING (TONS)",,,,,,
461,"d","",,,,,,
461,"d","United States",21,43,16674,-,-,-
461,"d","",,,,,,
461,"d","Connecticut",3,9,6408,-,-,-
461,"d","Illinois",2,"(D)","(D)",-,-,-
461,"d","Kentucky",2,"(D)","(D)",-,-,-
461,"d","Missouri",2,"(D)","(D)",-,-,-
461,"d","New Hampshire",2,"(D)","(D)",-,-,-
461,"d","",,,,,,
461,"d","New York",2,"(D)","(D)",-,-,-
461,"d","North Carolina",2,"(D)","(D)",-,-,-
461,"d","Pennsylvania",2,"(D)","(D)",-,-,-
461,"d","Texas",4,12,1248,-,-,-
461,"d","",,,,,,
461,"d","WATERMELONS (CWT)",,,,,,
461,"d","",,,,,,
461,"d","United States",40,931,50439,3,44,1100
461,"d","",,,,,,
461,"d","Alabama",4,23,1072,-,-,-
461,"d","California",3,56,2181,-,-,-
461,"d","Georgia",2,"(D)","(D)",-,-,-
461,"d","Iowa",3,27,900,-,-,-
461,"d","Kentucky",3,33,4905,-,-,-
461,"d","",,,,,,
461,"d","Missouri",4,13,420,-,-,-
461,"d","Nevada",1,"(D)","(D)",-,-,-
461,"d","New Jersey",4,"(D)","(D)",1,"(D)","(D)"
461,"d","North Carolina",4,20,761,-,-,-
461,"d","Ohio",2,"(D)","(D)",-,-,-
461,"d","",,,,,,
461,"d","South Carolina",2,"(D)","(D)",-,-,-
461,"d","Texas",7,637,32270,-,-,-
461,"d","Wisconsin",1,"(D)","(D)",2,"(D)","(D)"
461,"d","",,,,,,
461,"d","OTHER VEGETABLES (CWT)",,,,,,
461,"d","",,,,,,
461,"d","United States",285,8459,366172,49,397,41350
461,"d","",,,,,,
461,"d","Alabama",4,36,2576,-,-,-
461,"d","Arkansas",2,"(D)","(D)",-,-,-
461,"d","California",20,"(D)","(D)",2,"(D)","(D)"
461,"d","Connecticut",13,448,17731,-,-,-
461,"d","Delaware",1,"(D)","(D)",-,-,-
461,"d","",,,,,,
461,"d","Florida",3,"(D)","(D)",3,"(D)","(D)"
461,"d","Georgia",3,"(D)","(D)",2,"(D)","(D)"
461,"d","Hawaii",2,"(D)","(D)",3,"(D)","(D)"
461,"d","Idaho",2,"(D)","(D)",-,-,-
461,"d","Illinois",7,"(D)","(D)",3,"(D)","(D)"
461,"d","Indiana",3,"(D)","(D)",1,"(D)","(D)"
461,"c",""
