464,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
464,"t","Table 59.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Exempt Organic Farms:  2014"
464,"t","[For meaning of abbreviations and symbols, see introductory text.]"
464,"h","","","","","","",""
464,"h","","","","","Value of sales","Value of sales","Value of sales"
464,"h","","","","","","",""
464,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
464,"h","","","","","","",""
464,"h","","","Square feet","","","",""
464,"h","","","under glass","","","",""
464,"h","","","or other","","","",""
464,"h","Crop and geographic area","Farms","protection","Quantity","Farms","Quantity","Dollars"
464,"h","","","","","","",""
464,"d","ALL VEGETABLES, POTATOES,",,,,,,
464,"d"," AND MELONS",,,,,,
464,"d","",,,,,,
464,"d","United States",185,442219,"(X)",185,"(X)",290225
464,"d","",,,,,,
464,"d","Alabama",8,16598,"(X)",8,"(X)",11588
464,"d","Alaska",7,"(D)","(X)",7,"(X)","(D)"
464,"d","California",7,10120,"(X)",7,"(X)",28500
464,"d","Connecticut",11,7808,"(X)",11,"(X)",3705
464,"d","Delaware",1,"(D)","(X)",1,"(X)","(D)"
464,"d","",,,,,,
464,"d","Georgia",3,1590,"(X)",3,"(X)",2595
464,"d","Illinois",10,34762,"(X)",10,"(X)",13189
464,"d","Indiana",2,"(D)","(X)",2,"(X)","(D)"
464,"d","Iowa",2,"(D)","(X)",2,"(X)","(D)"
464,"d","Kansas",2,"(D)","(X)",2,"(X)","(D)"
464,"d","",,,,,,
464,"d","Kentucky",2,"(D)","(X)",2,"(X)","(D)"
464,"d","Louisiana",2,"(D)","(X)",2,"(X)","(D)"
464,"d","Maine",21,29951,"(X)",21,"(X)",63413
464,"d","Massachusetts",6,5976,"(X)",6,"(X)",7425
464,"d","Michigan",3,2100,"(X)",3,"(X)",1000
464,"d","",,,,,,
464,"d","Minnesota",6,7280,"(X)",6,"(X)",4046
464,"d","Missouri",11,115510,"(X)",11,"(X)","(D)"
464,"d","Montana",2,"(D)","(X)",2,"(X)","(D)"
464,"d","New Hampshire",3,510,"(X)",3,"(X)",516
464,"d","New Jersey",3,"(D)","(X)",3,"(X)","(D)"
464,"d","",,,,,,
464,"d","New Mexico",5,60,"(X)",5,"(X)",2100
464,"d","New York",8,10780,"(X)",8,"(X)",15804
464,"d","North Carolina",23,49910,"(X)",23,"(X)",44840
464,"d","Ohio",7,64886,"(X)",7,"(X)",7056
464,"d","Oklahoma",2,"(D)","(X)",2,"(X)","(D)"
464,"d","",,,,,,
464,"d","Oregon",6,4110,"(X)",6,"(X)",5658
464,"d","Pennsylvania",3,2676,"(X)",3,"(X)",4700
464,"d","South Carolina",3,6000,"(X)",3,"(X)",600
464,"d","Washington",6,7320,"(X)",6,"(X)",5328
464,"d","Wisconsin",10,9180,"(X)",10,"(X)",26596
464,"d","",,,,,,
464,"d","ARTICHOKES (CWT)",,,,,,
464,"d","",,,,,,
464,"d","United States",4,555,4,4,4,450
464,"d","",,,,,,
464,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)"
464,"d","Georgia",3,"(D)","(D)",3,"(D)","(D)"
464,"d","",,,,,,
464,"d","BEANS, SNAP, FRESH (CWT)",,,,,,
464,"d","",,,,,,
464,"d","United States",12,8754,219,12,10,3408
464,"d","",,,,,,
464,"d","Alabama",4,5264,204,4,5,1828
464,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)"
464,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
464,"d","Maine",3,90,2,3,2,450
464,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
464,"d","",,,,,,
464,"d","BROCCOLI (CWT)",,,,,,
464,"d","",,,,,,
464,"d","United States",11,5915,72,11,70,7821
464,"d","",,,,,,
464,"d","Alabama",2,"(D)","(D)",2,"(D)","(D)"
464,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)"
464,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
464,"d","Maine",3,36,2,3,2,150
464,"d","North Carolina",1,"(D)","(D)",1,"(D)","(D)"
464,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)"
464,"c",""
464,"c","--continued"
