469,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
469,"t","Table 59.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Exempt Organic Farms:  2014 (continued)"
469,"t","[For meaning of abbreviations and symbols, see introductory text.]"
469,"h","","","","","","",""
469,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
469,"h","","","","","","",""
469,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
469,"h","","","","","","",""
469,"h","","","","","","",""
469,"h","","","","","","",""
469,"h","","","","","","",""
469,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
469,"h","","","","","","",""
469,"d","HERBS, FRESH CUT (POUNDS) - Con.",,,,,,
469,"d","",,,,,,
469,"d","North Carolina",4,1303,"(D)",-,-,-
469,"d","Ohio",2,"(D)","(D)",-,-,-
469,"d","Oregon",3,460,"(D)",-,-,-
469,"d","Pennsylvania",2,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","HONEYDEW MELONS (CWT)",,,,,,
469,"d","",,,,,,
469,"d","United States",2,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","Ohio",2,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","LETTUCE, ALL (CWT)",,,,,,
469,"d","",,,,,,
469,"d","United States",23,34,"(D)",5,11,"(D)"
469,"d","",,,,,,
469,"d","Alaska",1,"(D)","(D)",-,-,-
469,"d","Georgia",3,4,750,-,-,-
469,"d","Indiana",-,-,-,2,"(D)","(D)"
469,"d","Kansas",-,-,-,2,"(D)","(D)"
469,"d","Maine",3,3,900,-,-,-
469,"d","",,,,,,
469,"d","Michigan",1,"(D)","(D)",-,-,-
469,"d","Missouri",3,2,360,-,-,-
469,"d","New Jersey",-,-,-,1,"(D)","(D)"
469,"d","New York",3,3,2730,-,-,-
469,"d","North Carolina",5,19,5073,-,-,-
469,"d","",,,,,,
469,"d","Ohio",2,"(D)","(D)",-,-,-
469,"d","Pennsylvania",2,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","ONIONS, RED, FRESH (CWT)",,,,,,
469,"d","",,,,,,
469,"d","United States",2,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","Alaska",2,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","ONIONS, WHITE,",,,,,,
469,"d"," FRESH (CWT)",,,,,,
469,"d","",,,,,,
469,"d","United States",5,4,340,-,-,-
469,"d","",,,,,,
469,"d","Iowa",2,"(D)","(D)",-,-,-
469,"d","Maine",3,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","ONIONS, YELLOW,",,,,,,
469,"d"," FRESH (CWT)",,,,,,
469,"d","",,,,,,
469,"d","United States",1,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","Alaska",1,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","ONIONS, RED,",,,,,,
469,"d"," PROCESSING (CWT)",,,,,,
469,"d","",,,,,,
469,"d","United States",1,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","Alaska",1,"(D)","(D)",-,-,-
469,"d","",,,,,,
469,"d","PEAS, GREEN (TONS)",,,,,,
469,"d","",,,,,,
469,"d","United States",5,5,1620,-,-,-
469,"d","",,,,,,
469,"d","Alabama",2,"(D)","(D)",-,-,-
469,"d","Alaska",1,"(D)","(D)",-,-,-
469,"d","Minnesota",2,"(D)","(D)",-,-,-
469,"c",""
469,"c","--continued"
