472,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
472,"t","Table 59.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Exempt Organic Farms:  2014 (continued)"
472,"t","[For meaning of abbreviations and symbols, see introductory text.]"
472,"h","","","","","","",""
472,"h","","","","","Value of sales","Value of sales","Value of sales"
472,"h","","","","","","",""
472,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
472,"h","","","","","","",""
472,"h","","","Square feet","","","",""
472,"h","","","under glass","","","",""
472,"h","","","or other","","","",""
472,"h","Crop and geographic area","Farms","protection","Quantity","Farms","Quantity","Dollars"
472,"h","","","","","","",""
472,"d","TOMATOES, FRESH (CWT) - Con.",,,,,,
472,"d","",,,,,,
472,"d","Connecticut",11,3800,45,11,18,1595
472,"d","Georgia",3,210,2,3,2,603
472,"d","Illinois",3,3000,22,3,22,4900
472,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Louisiana",2,"(D)","(D)",2,"(D)","(D)"
472,"d","",,,,,,
472,"d","Maine",8,8844,582,8,582,33802
472,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Minnesota",6,3480,18,6,18,2046
472,"d","Missouri",7,"(D)",949,7,321,8000
472,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
472,"d","",,,,,,
472,"d","New Hampshire",3,360,3,3,3,297
472,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)"
472,"d","New York",6,3840,12,6,12,2880
472,"d","North Carolina",16,15290,47,16,"(D)",7338
472,"d","Ohio",6,13664,126,6,26,5140
472,"d","",,,,,,
472,"d","Oklahoma",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Oregon",3,1920,15,3,7,"(D)"
472,"d","Pennsylvania",3,468,6,3,5,1200
472,"d","Washington",3,6000,6,3,6,1800
472,"d","Wisconsin",4,670,8,4,"(D)","(D)"
472,"d","",,,,,,
472,"d","WATERMELONS (CWT)",,,,,,
472,"d","",,,,,,
472,"d","United States",2,"(D)","(D)",2,"(D)","(D)"
472,"d","",,,,,,
472,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
472,"d","",,,,,,
472,"d","OTHER VEGETABLES (CWT)",,,,,,
472,"d","",,,,,,
472,"d","United States",75,90568,4137,75,1533,78546
472,"d","",,,,,,
472,"d","Alabama",4,4470,390,4,52,4720
472,"d","Alaska",4,"(D)","(D)",4,"(D)","(D)"
472,"d","California",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Connecticut",6,"(D)",6,6,6,"(D)"
472,"d","Delaware",1,"(D)","(D)",1,"(D)","(D)"
472,"d","",,,,,,
472,"d","Georgia",3,630,2,3,2,384
472,"d","Illinois",3,582,18,3,18,489
472,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Kansas",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Maine",5,636,6,5,6,1150
472,"d","",,,,,,
472,"d","Massachusetts",6,5976,2051,6,100,7425
472,"d","Minnesota",4,1400,44,4,4,"(D)"
472,"d","Missouri",5,"(D)","(D)",5,"(D)",2101
472,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
472,"d","New Jersey",2,"(D)","(D)",2,"(D)","(D)"
472,"d","",,,,,,
472,"d","North Carolina",8,9850,"(D)",8,"(D)","(D)"
472,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Oklahoma",2,"(D)","(D)",2,"(D)","(D)"
472,"d","Pennsylvania",3,468,77,3,4,1200
472,"d","Washington",3,1320,437,3,437,3528
472,"d","Wisconsin",6,8090,88,6,38,24770
472,"c",""
472,"c","--continued"
