474,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
474,"t","Table 60.  Other Organic Fruits, Tree Nuts, and Berries Harvested – Exempt Organic Farms:  2014"
474,"t","[For meaning of abbreviations and symbols, see introductory text.]"
474,"h","","","","","","",""
474,"h","","","","","Value of sales","Value of sales","Value of sales"
474,"h","","","","","","",""
474,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
474,"h","","","","","","",""
474,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
474,"h","","","","","","",""
474,"d","OTHER FRUITS, TREE NUTS, AND",,,,,,
474,"d"," BERRIES, TOTAL - (SEE TEXT)",,,,,,
474,"d","",,,,,,
474,"d","United States",500,625,"(X)",499,"(X)",1128338
474,"d","",,,,,,
474,"d","Alabama",7,10,"(X)",7,"(X)",6640
474,"d","Alaska",1,"(D)","(X)",1,"(X)","(D)"
474,"d","Arkansas",5,5,"(X)",5,"(X)",10300
474,"d","California",106,178,"(X)",106,"(X)",289507
474,"d","Colorado",4,2,"(X)",4,"(X)",21794
474,"d","",,,,,,
474,"d","Connecticut",6,1,"(X)",6,"(X)",1479
474,"d","Delaware",2,"(D)","(X)",2,"(X)","(D)"
474,"d","Florida",11,36,"(X)",11,"(X)",53203
474,"d","Georgia",7,6,"(X)",7,"(X)",12551
474,"d","Hawaii",43,34,"(X)",43,"(X)",117188
474,"d","",,,,,,
474,"d","Idaho",2,"(D)","(X)",2,"(X)","(D)"
474,"d","Illinois",5,1,"(X)",5,"(X)",11743
474,"d","Indiana",6,2,"(X)",6,"(X)",6312
474,"d","Iowa",2,"(D)","(X)",2,"(X)","(D)"
474,"d","Kansas",2,"(D)","(X)",2,"(X)","(D)"
474,"d","",,,,,,
474,"d","Kentucky",8,2,"(X)",8,"(X)",11796
474,"d","Louisiana",9,"(D)","(X)",9,"(X)",21616
474,"d","Maine",22,19,"(X)",22,"(X)",21928
474,"d","Maryland",2,"(D)","(X)",2,"(X)","(D)"
474,"d","Massachusetts",7,3,"(X)",7,"(X)",4626
474,"d","",,,,,,
474,"d","Michigan",10,4,"(X)",10,"(X)",9262
474,"d","Minnesota",3,3,"(X)",3,"(X)",16657
474,"d","Missouri",9,"(D)","(X)",9,"(X)",12056
474,"d","Montana",6,2,"(X)",6,"(X)",38486
474,"d","Nevada",1,"(D)","(X)",1,"(X)","(D)"
474,"d","",,,,,,
474,"d","New Hampshire",14,6,"(X)",14,"(X)",21397
474,"d","New Jersey",9,4,"(X)",9,"(X)",30161
474,"d","New Mexico",6,8,"(X)",6,"(X)",11400
474,"d","New York",13,8,"(X)",13,"(X)",16867
474,"d","North Carolina",8,4,"(X)",8,"(X)",19318
474,"d","",,,,,,
474,"d","Ohio",14,6,"(X)",14,"(X)",22792
474,"d","Oklahoma",4,1,"(X)",4,"(X)",6756
474,"d","Oregon",39,48,"(X)",39,"(X)",80012
474,"d","Pennsylvania",1,"(D)","(X)",1,"(X)","(D)"
474,"d","South Carolina",4,"(D)","(X)",4,"(X)",16638
474,"d","",,,,,,
474,"d","Tennessee",6,3,"(X)",6,"(X)",5360
474,"d","Texas",29,33,"(X)",29,"(X)",57092
474,"d","Vermont",16,22,"(X)",16,"(X)",38136
474,"d","Virginia",9,13,"(X)",9,"(X)",19286
474,"d","Washington",25,10,"(X)",25,"(X)",68511
474,"d","",,,,,,
474,"d","West Virginia",2,"(D)","(X)",2,"(X)","(D)"
474,"d","Wisconsin",15,8,"(X)",14,"(X)",40667
474,"d","",,,,,,
474,"d","AVOCADOS (TONS)",,,,,,
474,"d","",,,,,,
474,"d","United States",30,18,27,30,24,52446
474,"d","",,,,,,
474,"d","California",13,9,17,13,14,31508
474,"d","Florida",2,"(D)","(D)",2,"(D)","(D)"
474,"d","Hawaii",15,"(D)","(D)",15,"(D)","(D)"
474,"d","",,,,,,
474,"d","CHERRIES, SWEET (TONS)",,,,,,
474,"d","",,,,,,
474,"d","United States",22,8,10,20,9,41912
474,"d","",,,,,,
474,"d","California",11,6,5,11,5,25216
474,"c",""
474,"c","--continued"
