476,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
476,"t","Table 60.  Other Organic Fruits, Tree Nuts, and Berries Harvested – Exempt Organic Farms:  2014 (continued)"
476,"t","[For meaning of abbreviations and symbols, see introductory text.]"
476,"h","","","","","","",""
476,"h","","","","","Value of sales","Value of sales","Value of sales"
476,"h","","","","","","",""
476,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
476,"h","","","","","","",""
476,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
476,"h","","","","","","",""
476,"d","CHERRIES, SWEET (TONS) - Con.",,,,,,
476,"d","",,,,,,
476,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
476,"d","Idaho",2,"(D)","(D)",-,-,-
476,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
476,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
476,"d","Oregon",3,1,"(D)",3,"(D)",2956
476,"d","",,,,,,
476,"d","CHERRIES, TART (POUNDS)",,,,,,
476,"d","",,,,,,
476,"d","United States",10,1,3706,8,3102,6268
476,"d","",,,,,,
476,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
476,"d","Idaho",2,"(D)","(D)",-,-,-
476,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
476,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
476,"d","Washington",2,"(D)","(D)",2,"(D)","(D)"
476,"d","",,,,,,
476,"d","COFFEE (POUNDS)",,,,,,
476,"d","",,,,,,
476,"d","United States",10,"(D)",9100,10,4180,15600
476,"d","",,,,,,
476,"d","Hawaii",10,"(D)",9100,10,4180,15600
476,"d","",,,,,,
476,"d","DATES (TONS)",,,,,,
476,"d","",,,,,,
476,"d","United States",2,"(D)","(D)",2,"(D)","(D)"
476,"d","",,,,,,
476,"d","California",2,"(D)","(D)",2,"(D)","(D)"
476,"d","",,,,,,
476,"d","FIGS (TONS)",,,,,,
476,"d","",,,,,,
476,"d","United States",27,5,9,27,4,16070
476,"d","",,,,,,
476,"d","California",18,4,7,18,3,11150
476,"d","Louisiana",3,1,"(Z)",3,"(Z)",1800
476,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
476,"d","Texas",4,"(D)","(D)",4,"(D)","(D)"
476,"d","",,,,,,
476,"d","GRAPEFRUIT (TONS)",,,,,,
476,"d","",,,,,,
476,"d","United States",1,"(D)","(D)",1,"(D)","(D)"
476,"d","",,,,,,
476,"d","Texas",1,"(D)","(D)",1,"(D)","(D)"
476,"d","",,,,,,
476,"d","LEMONS (TONS)",,,,,,
476,"d","",,,,,,
476,"d","United States",10,2,10,10,4,5274
476,"d","",,,,,,
476,"d","California",6,1,"(D)",6,"(D)",1300
476,"d","Hawaii",4,2,"(D)",4,"(D)",3974
476,"d","",,,,,,
476,"d","ORANGES, NAVEL (TONS)",,,,,,
476,"d","",,,,,,
476,"d","United States",12,9,34,12,16,12924
476,"d","",,,,,,
476,"d","California",10,"(D)","(D)",10,"(D)","(D)"
476,"d","Hawaii",2,"(D)","(D)",2,"(D)","(D)"
476,"d","",,,,,,
476,"d","ORANGES, VALENCIA (TONS)",,,,,,
476,"d","",,,,,,
476,"d","United States",15,8,75,15,75,33312
476,"d","",,,,,,
476,"d","California",15,8,75,15,75,33312
476,"c",""
476,"c","--continued"
