481,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
481,"t","Table 60.  Other Organic Fruits, Tree Nuts, and Berries Harvested – Exempt Organic Farms:  2014 (continued)"
481,"t","[For meaning of abbreviations and symbols, see introductory text.]"
481,"h","","","","","","",""
481,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
481,"h","","","","","","",""
481,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
481,"h","","","","","","",""
481,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
481,"h","","","","","","",""
481,"d","OTHER FRUITS (TONS)",,,,,,
481,"d","",,,,,,
481,"d","United States",85,83,167478,11,213,44962
481,"d","",,,,,,
481,"d","California",38,44,72821,4,4,2376
481,"d","Florida",10,17,50074,-,-,-
481,"d","Hawaii",18,"(D)","(D)",5,"(D)","(D)"
481,"d","Indiana",2,"(D)","(D)",-,-,-
481,"d","New York",2,"(D)","(D)",-,-,-
481,"d","",,,,,,
481,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
481,"d","South Carolina",2,"(D)","(D)",-,-,-
481,"d","Texas",6,"(D)","(D)",-,-,-
481,"d","Vermont",4,2,3000,-,-,-
481,"d","Wisconsin",1,"(D)","(D)",-,-,-
481,"d","",,,,,,
481,"d","ALMONDS (POUNDS)",,,,,,
481,"d","",,,,,,
481,"d","United States",9,2576,11586,-,-,-
481,"d","",,,,,,
481,"d","California",9,2576,11586,-,-,-
481,"d","",,,,,,
481,"d","HAZELNUTS/FILBERTS (TONS)",,,,,,
481,"d","",,,,,,
481,"d","United States",2,"(D)","(D)",-,-,-
481,"d","",,,,,,
481,"d","Wisconsin",2,"(D)","(D)",-,-,-
481,"d","",,,,,,
481,"d","PECANS, ALL (POUNDS)",,,,,,
481,"d","",,,,,,
481,"d","United States",14,22684,58708,-,-,-
481,"d","",,,,,,
481,"d","Louisiana",5,"(D)","(D)",-,-,-
481,"d","Missouri",1,"(D)","(D)",-,-,-
481,"d","New Mexico",2,"(D)","(D)",-,-,-
481,"d","Texas",6,7256,34080,-,-,-
481,"d","",,,,,,
481,"d","WALNUTS, ENGLISH (TONS)",,,,,,
481,"d","",,,,,,
481,"d","United States",11,13,24794,-,-,-
481,"d","",,,,,,
481,"d","California",11,13,24794,-,-,-
481,"d","",,,,,,
481,"d","OTHER NUTS (POUNDS)",,,,,,
481,"d","",,,,,,
481,"d","United States",32,8515,38957,3,92,282
481,"d","",,,,,,
481,"d","California",12,2807,17771,-,-,-
481,"d","Florida",2,"(D)","(D)",-,-,-
481,"d","Indiana",2,"(D)","(D)",-,-,-
481,"d","Iowa",2,"(D)","(D)",-,-,-
481,"d","Maine",3,137,492,-,-,-
481,"d","",,,,,,
481,"d","New Hampshire",2,"(D)","(D)",-,-,-
481,"d","New York",-,-,-,2,"(D)","(D)"
481,"d","Oregon",7,"(D)","(D)",1,"(D)","(D)"
481,"d","Washington",2,"(D)","(D)",-,-,-
481,"d","",,,,,,
481,"d","BLACKBERRIES AND DEWBERRIES (POUNDS)",,,,,,
481,"d","",,,,,,
481,"d","United States",48,8626,"(D)",7,1397,"(D)"
481,"d","",,,,,,
481,"d","Alabama",2,"(D)","(D)",-,-,-
481,"d","California",3,1425,5787,-,-,-
481,"d","Delaware",2,"(D)","(D)",-,-,-
481,"d","Georgia",3,423,"(D)",3,1,"(D)"
481,"d","Illinois",2,"(D)","(D)",-,-,-
481,"d","Indiana",-,-,-,2,"(D)","(D)"
481,"c",""
481,"c","--continued"
