488,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
488,"t","Table 61.  All Organic Apples Harvested and Value of Sales – Exempt Organic Farms:  2014"
488,"t","[For meaning of abbreviations and symbols, see introductory text.]"
488,"h","","","","","","",""
488,"h","","","","","Value of sales","Value of sales","Value of sales"
488,"h","","","","","","",""
488,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
488,"h","","","","","","",""
488,"h","Crop and geographic area","Farms","Acres","Pounds","Farms","Pounds","Dollars"
488,"h","","","","","","",""
488,"d","APPLES, ALL",,,,,,
488,"d","",,,,,,
488,"d","United States",168,159,789030,163,397254,306214
488,"d","",,,,,,
488,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)"
488,"d","California",30,34,84018,28,82478,61726
488,"d","Colorado",6,1,1736,6,1252,1672
488,"d","Connecticut",1,"(D)","(D)",1,"(D)","(D)"
488,"d","Georgia",3,"(D)",27099,3,108,180
488,"d","",,,,,,
488,"d","Idaho",4,5,"(D)",2,"(D)","(D)"
488,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)"
488,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)"
488,"d","Kansas",2,"(D)","(D)",2,"(D)","(D)"
488,"d","Kentucky",4,1,2400,4,"(D)","(D)"
488,"d","",,,,,,
488,"d","Maine",7,2,4885,7,4393,2138
488,"d","Michigan",4,6,34454,4,"(D)","(D)"
488,"d","Minnesota",9,10,45211,9,42916,21921
488,"d","Montana",1,"(D)","(D)",1,"(D)","(D)"
488,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)"
488,"d","",,,,,,
488,"d","New Hampshire",9,"(D)","(D)",9,"(D)","(D)"
488,"d","New Jersey",3,"(D)","(D)",3,"(D)","(D)"
488,"d","New York",8,17,202720,8,19640,19760
488,"d","North Carolina",5,5,7402,5,2530,"(D)"
488,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
488,"d","",,,,,,
488,"d","Oregon",17,12,81682,17,62622,54494
488,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)"
488,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)"
488,"d","Vermont",5,4,3176,5,2720,2584
488,"d","Virginia",6,14,8604,6,8604,"(D)"
488,"d","",,,,,,
488,"d","Washington",14,5,60450,14,53926,43904
488,"d","Wisconsin",17,21,163912,16,41341,44955
488,"d","",,,,,,
488,"d","APPLES, FRESH, ALL",,,,,,
488,"d","",,,,,,
488,"d","United States",146,"(X)","(X)",144,289170,"(D)"
488,"d","",,,,,,
488,"d","Alaska",1,"(X)","(X)",1,"(D)","(D)"
488,"d","California",25,"(X)","(X)",23,75842,59995
488,"d","Colorado",6,"(X)","(X)",6,"(D)","(D)"
488,"d","Connecticut",1,"(X)","(X)",1,"(D)","(D)"
488,"d","Georgia",3,"(X)","(X)",3,108,180
488,"d","",,,,,,
488,"d","Idaho",2,"(X)","(X)",2,"(D)","(D)"
488,"d","Illinois",2,"(X)","(X)",2,"(D)","(D)"
488,"d","Indiana",2,"(X)","(X)",2,"(D)","(D)"
488,"d","Kansas",2,"(X)","(X)",2,"(D)","(D)"
488,"d","Kentucky",4,"(X)","(X)",4,"(D)","(D)"
488,"d","",,,,,,
488,"d","Maine",5,"(X)","(X)",5,"(D)","(D)"
488,"d","Michigan",2,"(X)","(X)",2,"(D)","(D)"
488,"d","Minnesota",9,"(X)","(X)",9,42916,21921
488,"d","Montana",1,"(X)","(X)",1,"(D)","(D)"
488,"d","Nebraska",2,"(X)","(X)",2,"(D)","(D)"
488,"d","",,,,,,
488,"d","New Hampshire",9,"(X)","(X)",9,"(D)","(D)"
488,"d","New Jersey",3,"(X)","(X)",3,"(D)","(D)"
488,"d","New York",8,"(X)","(X)",8,19640,19760
488,"d","North Carolina",5,"(X)","(X)",5,2530,"(D)"
488,"d","Oregon",11,"(X)","(X)",11,"(D)",15678
488,"d","",,,,,,
488,"d","Pennsylvania",2,"(X)","(X)",2,"(D)","(D)"
488,"d","Tennessee",2,"(X)","(X)",2,"(D)","(D)"
488,"d","Vermont",3,"(X)","(X)",3,"(D)","(D)"
488,"d","Virginia",6,"(X)","(X)",6,5604,"(D)"
488,"c",""
488,"c","--continued"
