490,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
490,"t","Table 61.  All Organic Apples Harvested and Value of Sales – Exempt Organic Farms:  2014 (continued)"
490,"t","[For meaning of abbreviations and symbols, see introductory text.]"
490,"h","","","","","","",""
490,"h","","","","","Value of sales","Value of sales","Value of sales"
490,"h","","","","","","",""
490,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
490,"h","","","","","","",""
490,"h","Crop and geographic area","Farms","Acres","Pounds","Farms","Pounds","Dollars"
490,"h","","","","","","",""
490,"d","APPLES, FRESH, ALL - Con.",,,,,,
490,"d","",,,,,,
490,"d","Washington",14,"(X)","(X)",14,53926,43904
490,"d","Wisconsin",16,"(X)","(X)",16,30301,37953
490,"d","",,,,,,
490,"d","APPLES, PROCESSING, ALL",,,,,,
490,"d","",,,,,,
490,"d","United States",32,"(X)","(X)",29,108084,"(D)"
490,"d","",,,,,,
490,"d","California",5,"(X)","(X)",5,6636,1731
490,"d","Colorado",1,"(X)","(X)",1,"(D)","(D)"
490,"d","Idaho",2,"(X)","(X)",-,-,-
490,"d","Maine",2,"(X)","(X)",2,"(D)","(D)"
490,"d","Michigan",2,"(X)","(X)",2,"(D)","(D)"
490,"d","",,,,,,
490,"d","Ohio",2,"(X)","(X)",2,"(D)","(D)"
490,"d","Oregon",6,"(X)","(X)",6,"(D)",38816
490,"d","Vermont",3,"(X)","(X)",3,"(D)","(D)"
490,"d","Virginia",3,"(X)","(X)",3,3000,3000
490,"d","Wisconsin",6,"(X)","(X)",5,11040,7002
490,"d","",,,,,,
490,"d","CORTLAND, ALL",,,,,,
490,"d","",,,,,,
490,"d","United States",13,12,"(D)",11,40312,"(D)"
490,"d","",,,,,,
490,"d","Idaho",2,"(D)","(D)",-,-,-
490,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)"
490,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
490,"d","New York",2,"(D)","(D)",2,"(D)","(D)"
490,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
490,"d","Wisconsin",3,1,3824,3,3824,"(D)"
490,"d","",,,,,,
490,"d","EMPIRE, ALL",,,,,,
490,"d","",,,,,,
490,"d","United States",6,2,9488,6,9488,2762
490,"d","",,,,,,
490,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
490,"d","New York",2,"(D)","(D)",2,"(D)","(D)"
490,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
490,"d","",,,,,,
490,"d","ENTERPRISE, ALL",,,,,,
490,"d","",,,,,,
490,"d","United States",4,1,"(D)",4,5788,"(D)"
490,"d","",,,,,,
490,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
490,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
490,"d","",,,,,,
490,"d","FUJI, ALL",,,,,,
490,"d","",,,,,,
490,"d","United States",12,2,5643,12,5603,9260
490,"d","",,,,,,
490,"d","California",8,1,5123,8,"(D)","(D)"
490,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
490,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)"
490,"d","",,,,,,
490,"d","GALA, ALL",,,,,,
490,"d","",,,,,,
490,"d","United States",7,3,9228,7,8978,4790
490,"d","",,,,,,
490,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
490,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
490,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
490,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)"
490,"d","",,,,,,
490,"d","GOLDEN DELICIOUS, ALL",,,,,,
490,"d","",,,,,,
490,"d","United States",16,5,12410,16,10554,"(D)"
490,"d","",,,,,,
490,"d","California",5,2,6820,5,6820,6684
490,"c",""
490,"c","--continued"
