495,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
495,"t","Table 61.  All Organic Apples Harvested and Value of Sales – Exempt Organic Farms:  2014 (continued)"
495,"t","[For meaning of abbreviations and symbols, see introductory text.]"
495,"h","","","","","","",""
495,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
495,"h","","","","","","",""
495,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
495,"h","","","","","","",""
495,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
495,"h","","","","","","",""
495,"d","MCINTOSH, ALL",,,,,,
495,"d","",,,,,,
495,"d","United States",14,15046,6757,-,-,-
495,"d","",,,,,,
495,"d","California",4,1680,1424,-,-,-
495,"d","Idaho",2,"(D)","(D)",-,-,-
495,"d","Montana",1,"(D)","(D)",-,-,-
495,"d","New Hampshire",2,"(D)","(D)",-,-,-
495,"d","Wisconsin",5,2166,1805,-,-,-
495,"d","",,,,,,
495,"d","RED DELICIOUS, ALL",,,,,,
495,"d","",,,,,,
495,"d","United States",9,"(D)","(D)",1,"(D)","(D)"
495,"d","",,,,,,
495,"d","California",2,"(D)","(D)",-,-,-
495,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)"
495,"d","New Hampshire",2,"(D)","(D)",-,-,-
495,"d","New Jersey",2,"(D)","(D)",-,-,-
495,"d","New York",2,"(D)","(D)",-,-,-
495,"d","",,,,,,
495,"d","ROME, ALL",,,,,,
495,"d","",,,,,,
495,"d","United States",8,28662,"(D)",-,-,-
495,"d","",,,,,,
495,"d","California",6,"(D)","(D)",-,-,-
495,"d","New Hampshire",2,"(D)","(D)",-,-,-
495,"d","",,,,,,
495,"d","OTHER VARIETIES, ALL",,,,,,
495,"d","",,,,,,
495,"d","United States",106,165000,"(D)",9,8631,"(D)"
495,"d","",,,,,,
495,"d","Alaska",1,"(D)","(D)",-,-,-
495,"d","California",12,37765,30188,-,-,-
495,"d","Colorado",3,"(D)","(D)",2,"(D)","(D)"
495,"d","Connecticut",1,"(D)","(D)",-,-,-
495,"d","Georgia",3,108,180,-,-,-
495,"d","",,,,,,
495,"d","Idaho",-,-,-,-,-,-
495,"d","Illinois",2,"(D)","(D)",-,-,-
495,"d","Indiana",2,"(D)","(D)",-,-,-
495,"d","Kansas",-,-,-,2,"(D)","(D)"
495,"d","Kentucky",2,"(D)","(D)",-,-,-
495,"d","",,,,,,
495,"d","Maine",7,"(D)","(D)",-,-,-
495,"d","Michigan",4,"(D)","(D)",-,-,-
495,"d","Minnesota",5,10815,"(D)",3,"(D)","(D)"
495,"d","Montana",1,"(D)","(D)",-,-,-
495,"d","Nebraska",2,"(D)","(D)",-,-,-
495,"d","",,,,,,
495,"d","New Hampshire",9,1930,4236,-,-,-
495,"d","New Jersey",1,"(D)","(D)",-,-,-
495,"d","New York",2,"(D)","(D)",-,-,-
495,"d","North Carolina",3,"(D)","(D)",2,"(D)","(D)"
495,"d","Oregon",15,52952,49188,-,-,-
495,"d","",,,,,,
495,"d","Pennsylvania",2,"(D)","(D)",-,-,-
495,"d","Vermont",5,2400,2264,-,-,-
495,"d","Virginia",6,8604,"(D)",-,-,-
495,"d","Washington",10,5532,6026,-,-,-
495,"d","Wisconsin",8,8551,3622,-,-,-
495,"c",""
