496,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
496,"t","Table 62.  Fresh and Processed Organic Apples Value of Sales – Exempt Organic Farms:  2014"
496,"t","[For meaning of abbreviations and symbols, see introductory text.]"
496,"h","","","","","","","","","",""
496,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
496,"h","","","","","","","","","",""
496,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
496,"h","","","","","","","","","",""
496,"d","APPLES, FRESH, ALL",,,,,,,,,
496,"d","",,,,,,,,,
496,"d","United States",144,289170,"(D)",139,280407,"(D)",12,8763,"(D)"
496,"d","",,,,,,,,,
496,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)",-,-,-
496,"d","California",23,75842,59995,23,75842,59995,-,-,-
496,"d","Colorado",6,"(D)","(D)",5,"(D)","(D)",3,220,"(D)"
496,"d","Connecticut",1,"(D)","(D)",1,"(D)","(D)",-,-,-
496,"d","Georgia",3,108,180,3,108,180,-,-,-
496,"d","",,,,,,,,,
496,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Kansas",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
496,"d","Kentucky",4,"(D)","(D)",4,"(D)","(D)",-,-,-
496,"d","",,,,,,,,,
496,"d","Maine",5,"(D)","(D)",5,"(D)","(D)",-,-,-
496,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Minnesota",9,42916,21921,9,"(D)","(D)",3,"(D)","(D)"
496,"d","Montana",1,"(D)","(D)",1,"(D)","(D)",-,-,-
496,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","",,,,,,,,,
496,"d","New Hampshire",9,"(D)","(D)",9,"(D)","(D)",-,-,-
496,"d","New Jersey",3,"(D)","(D)",3,"(D)","(D)",-,-,-
496,"d","New York",8,19640,19760,8,19640,19760,-,-,-
496,"d","North Carolina",5,2530,"(D)",3,"(D)","(D)",2,"(D)","(D)"
496,"d","Oregon",11,"(D)",15678,11,"(D)",15678,-,-,-
496,"d","",,,,,,,,,
496,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Vermont",3,"(D)","(D)",3,"(D)","(D)",-,-,-
496,"d","Virginia",6,5604,"(D)",6,5604,"(D)",-,-,-
496,"d","Washington",14,53926,43904,14,"(D)","(D)",2,"(D)","(D)"
496,"d","Wisconsin",16,30301,37953,16,30301,37953,-,-,-
496,"d","",,,,,,,,,
496,"d","APPLES, PROCESSING, ALL",,,,,,,,,
496,"d","",,,,,,,,,
496,"d","United States",29,108084,"(D)",29,108084,"(D)",-,-,-
496,"d","",,,,,,,,,
496,"d","California",5,6636,1731,5,6636,1731,-,-,-
496,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)",-,-,-
496,"d","Maine",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","",,,,,,,,,
496,"d","Oregon",6,"(D)",38816,6,"(D)",38816,-,-,-
496,"d","Vermont",3,"(D)","(D)",3,"(D)","(D)",-,-,-
496,"d","Virginia",3,3000,3000,3,3000,3000,-,-,-
496,"d","Wisconsin",5,11040,7002,5,11040,7002,-,-,-
496,"d","",,,,,,,,,
496,"d","CORTLAND, FRESH",,,,,,,,,
496,"d","",,,,,,,,,
496,"d","United States",9,33424,"(D)",9,33424,"(D)",-,-,-
496,"d","",,,,,,,,,
496,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","New York",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Wisconsin",3,"(D)","(D)",3,"(D)","(D)",-,-,-
496,"d","",,,,,,,,,
496,"d","CORTLAND, PROCESSING",,,,,,,,,
496,"d","",,,,,,,,,
496,"d","United States",4,6888,2702,4,6888,2702,-,-,-
496,"d","",,,,,,,,,
496,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"d","Wisconsin",2,"(D)","(D)",2,"(D)","(D)",-,-,-
496,"c",""
496,"c","--continued"
