499,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
499,"t","Table 62.  Fresh and Processed Organic Apples Value of Sales – Exempt Organic Farms:  2014 (continued)"
499,"t","[For meaning of abbreviations and symbols, see introductory text.]"
499,"h","","","","","","","","","",""
499,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
499,"h","","","","","","","","","",""
499,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
499,"h","","","","","","","","","",""
499,"d","MCINTOSH, FRESH",,,,,,,,,
499,"d","",,,,,,,,,
499,"d","United States",14,15046,6757,14,15046,6757,-,-,-
499,"d","",,,,,,,,,
499,"d","California",4,1680,1424,4,1680,1424,-,-,-
499,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","Montana",1,"(D)","(D)",1,"(D)","(D)",-,-,-
499,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","Wisconsin",5,2166,1805,5,2166,1805,-,-,-
499,"d","",,,,,,,,,
499,"d","RED DELICIOUS, FRESH",,,,,,,,,
499,"d","",,,,,,,,,
499,"d","United States",9,"(D)","(D)",8,"(D)","(D)",1,"(D)","(D)"
499,"d","",,,,,,,,,
499,"d","California",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","Colorado",1,"(D)","(D)",-,-,-,1,"(D)","(D)"
499,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","New Jersey",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","New York",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","RED DELICIOUS,",,,,,,,,,
499,"d"," PROCESSING",,,,,,,,,
499,"d","",,,,,,,,,
499,"d","United States",1,"(D)","(D)",1,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","ROME, FRESH",,,,,,,,,
499,"d","",,,,,,,,,
499,"d","United States",6,"(D)","(D)",6,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","California",4,"(D)","(D)",4,"(D)","(D)",-,-,-
499,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","ROME, PROCESSING",,,,,,,,,
499,"d","",,,,,,,,,
499,"d","United States",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","California",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","OTHER VARIETIES, FRESH",,,,,,,,,
499,"d","",,,,,,,,,
499,"d","United States",95,95029,89086,91,86398,"(D)",9,8631,"(D)"
499,"d","",,,,,,,,,
499,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)",-,-,-
499,"d","California",9,"(D)","(D)",9,"(D)","(D)",-,-,-
499,"d","Colorado",3,572,534,3,"(D)","(D)",2,"(D)","(D)"
499,"d","Connecticut",1,"(D)","(D)",1,"(D)","(D)",-,-,-
499,"d","Georgia",3,108,180,3,108,180,-,-,-
499,"d","",,,,,,,,,
499,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","Kansas",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
499,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","Maine",5,"(D)",1072,5,"(D)",1072,-,-,-
499,"d","",,,,,,,,,
499,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","Minnesota",5,"(D)","(D)",5,10815,"(D)",3,"(D)","(D)"
499,"d","Montana",1,"(D)","(D)",1,"(D)","(D)",-,-,-
499,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","New Hampshire",9,1930,4236,9,1930,4236,-,-,-
499,"d","",,,,,,,,,
499,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)",-,-,-
499,"d","New York",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","North Carolina",5,"(D)","(D)",3,"(D)","(D)",2,"(D)","(D)"
499,"d","Oregon",9,"(D)",10372,9,"(D)",10372,-,-,-
499,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
499,"d","",,,,,,,,,
499,"d","Vermont",3,"(D)","(D)",3,"(D)","(D)",-,-,-
499,"d","Virginia",6,5604,"(D)",6,5604,"(D)",-,-,-
499,"c",""
499,"c","--continued"
