503,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
503,"t","Table 64.  Organic Grapes Value of Sales by Utilization – Exempt Organic Farms:  2014"
503,"t","[For meaning of abbreviations and symbols, see introductory text.]"
503,"h","","","","","","","","","",""
503,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
503,"h","","","","","","","","","",""
503,"h","Crop and geographic area","Farms","Tons","Dollars","Farms","Tons","Dollars","Farms","Tons","Dollars"
503,"h","","","","","","","","","",""
503,"d","ALL GRAPES",,,,,,,,,
503,"d","",,,,,,,,,
503,"d","United States",68,45,76589,65,42,71284,8,3,5305
503,"d","",,,,,,,,,
503,"d","California",22,38,48333,22,35,43441,5,3,4892
503,"d","Florida",1,"(D)","(D)",1,"(D)","(D)",-,-,-
503,"d","Georgia",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
503,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Kentucky",3,"(D)",2744,3,"(D)",2744,-,-,-
503,"d","",,,,,,,,,
503,"d","Maine",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Maryland",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Massachusetts",3,"(D)",126,3,"(D)",126,-,-,-
503,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Missouri",3,"(D)","(D)",3,"(D)","(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","New Jersey",6,"(Z)",1116,5,"(D)","(D)",1,"(D)","(D)"
503,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","Texas",4,"(Z)",1480,4,"(Z)",1480,-,-,-
503,"d","Washington",9,2,"(D)",9,2,"(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","FRESH, TABLE USE",,,,,,,,,
503,"d","",,,,,,,,,
503,"d","United States",44,6,24211,42,"(D)","(D)",2,"(D)","(D)"
503,"d","",,,,,,,,,
503,"d","California",10,2,4442,10,2,4442,-,-,-
503,"d","Florida",1,"(D)","(D)",1,"(D)","(D)",-,-,-
503,"d","Georgia",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
503,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","Maine",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Massachusetts",3,"(D)",126,3,"(D)",126,-,-,-
503,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Missouri",3,"(D)","(D)",3,"(D)","(D)",-,-,-
503,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","New Jersey",3,"(D)",813,3,"(D)",813,-,-,-
503,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)",-,-,-
503,"d","Washington",9,1,"(D)",9,1,"(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","WINE PRODUCTION",,,,,,,,,
503,"d","",,,,,,,,,
503,"d","United States",19,38,47055,19,35,42163,5,3,4892
503,"d","",,,,,,,,,
503,"d","California",12,37,43891,12,34,38999,5,3,4892
503,"d","Kentucky",3,"(D)","(D)",3,"(D)","(D)",-,-,-
503,"d","New Jersey",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Texas",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","JUICE PRODUCTION",,,,,,,,,
503,"d","",,,,,,,,,
503,"d","United States",3,"(Z)",300,3,"(Z)",300,-,-,-
503,"d","",,,,,,,,,
503,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)",-,-,-
503,"d","",,,,,,,,,
503,"d","OTHER PROCESSING",,,,,,,,,
503,"d"," USES",,,,,,,,,
503,"d","",,,,,,,,,
503,"d","United States",10,1,5023,9,"(D)","(D)",1,"(D)","(D)"
503,"d","",,,,,,,,,
503,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Maryland",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","New Jersey",1,"(D)","(D)",-,-,-,1,"(D)","(D)"
503,"d","Texas",2,"(D)","(D)",2,"(D)","(D)",-,-,-
503,"d","Washington",3,1,3600,3,1,3600,-,-,-
503,"c",""
