506,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
506,"t","Table 65.  Organic Field Crops Harvested and Value of Sales – Exempt Organic Farms:  2014 (continued)"
506,"t","[For meaning of abbreviations and symbols, see introductory text.]"
506,"h","","","","","","",""
506,"h","","","","","Value of sales","Value of sales","Value of sales"
506,"h","","","","","","",""
506,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
506,"h","","","","","","",""
506,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
506,"h","","","","","","",""
506,"d","CORN FOR GRAIN OR",,,,,,
506,"d"," SEED (BUSHELS) - Con.",,,,,,
506,"d","",,,,,,
506,"d","Maine",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Massachusetts",3,"(D)","(D)",3,"(D)","(D)"
506,"d","Minnesota",2,"(D)","(D)",-,-,-
506,"d","Missouri",2,"(D)","(D)",-,-,-
506,"d","New Jersey",2,"(D)","(D)",2,"(D)","(D)"
506,"d","",,,,,,
506,"d","New York",2,"(D)","(D)",-,-,-
506,"d","North Carolina",2,"(D)","(D)",-,-,-
506,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Wisconsin",4,8,552,-,-,-
506,"d","",,,,,,
506,"d","CORN FOR SILAGE OR",,,,,,
506,"d"," GREENCHOP (TONS)",,,,,,
506,"d","",,,,,,
506,"d","United States",3,6,72,3,72,1920
506,"d","",,,,,,
506,"d","Nevada",3,6,72,3,72,1920
506,"d","",,,,,,
506,"d","DRY EDIBLE BEANS, ALL",,,,,,
506,"d"," INCLUDING LIMAS (CWT)",,,,,,
506,"d","",,,,,,
506,"d","United States",6,28,216,4,48,3392
506,"d","",,,,,,
506,"d","Georgia",2,"(D)","(D)",-,-,-
506,"d","Maine",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
506,"d","",,,,,,
506,"d","DRY EDIBLE BEANS, OTHER (CWT)",,,,,,
506,"d","",,,,,,
506,"d","United States",6,28,216,4,48,3392
506,"d","",,,,,,
506,"d","Georgia",2,"(D)","(D)",-,-,-
506,"d","Maine",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
506,"d","",,,,,,
506,"d","HAY, ALL DRY (TONS)",,,,,,
506,"d","",,,,,,
506,"d","United States",202,3765,7329,167,3254,507161
506,"d","",,,,,,
506,"d","Arkansas",3,81,190,2,"(D)","(D)"
506,"d","California",4,"(D)",166,4,38,7346
506,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Connecticut",8,55,91,5,60,9630
506,"d","Florida",1,"(D)","(D)",1,"(D)","(D)"
506,"d","",,,,,,
506,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Illinois",9,"(D)",431,3,200,"(D)"
506,"d","Indiana",11,"(D)",405,8,284,"(D)"
506,"d","Iowa",4,"(D)",102,4,100,10300
506,"d","",,,,,,
506,"d","Kansas",2,"(D)","(D)",2,"(D)","(D)"
506,"d","Kentucky",4,60,174,4,166,20532
506,"d","Maine",10,742,1012,6,80,14998
506,"d","Massachusetts",11,106,121,8,85,"(D)"
506,"d","Michigan",9,"(D)",159,9,107,14312
506,"d","",,,,,,
506,"d","Minnesota",12,"(D)",724,12,420,56823
506,"d","Missouri",6,102,163,6,30,"(D)"
506,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)"
506,"d","New Hampshire",4,48,116,4,116,25360
506,"d","New Jersey",9,"(D)",64,9,56,"(D)"
506,"d","",,,,,,
506,"d","New York",12,299,472,12,320,"(D)"
506,"d","Ohio",7,"(D)",433,4,224,"(D)"
506,"d","Oregon",4,"(D)",18,2,"(D)","(D)"
506,"d","Pennsylvania",7,83,158,6,69,17680
506,"d","Rhode Island",1,"(D)","(D)",1,"(D)","(D)"
506,"c",""
506,"c","--continued"
