507,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
507,"t","Table 65.  Organic Field Crops Harvested and Value of Sales – Exempt Organic Farms:  2014 (continued)"
507,"t","[For meaning of abbreviations and symbols, see introductory text.]"
507,"h","","","","","","",""
507,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
507,"h","","","","","","",""
507,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
507,"h","","","","","","",""
507,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
507,"h","","","","","","",""
507,"d","CORN FOR GRAIN OR",,,,,,
507,"d"," SEED (BUSHELS) - Con.",,,,,,
507,"d","",,,,,,
507,"d","Maine",2,"(D)","(D)",-,-,-
507,"d","Massachusetts",3,"(D)","(D)",-,-,-
507,"d","Minnesota",-,-,-,-,-,-
507,"d","Missouri",-,-,-,-,-,-
507,"d","New Jersey",2,"(D)","(D)",-,-,-
507,"d","",,,,,,
507,"d","New York",-,-,-,-,-,-
507,"d","North Carolina",-,-,-,-,-,-
507,"d","Ohio",-,-,-,2,"(D)","(D)"
507,"d","Wisconsin",-,-,-,-,-,-
507,"d","",,,,,,
507,"d","CORN FOR SILAGE OR",,,,,,
507,"d"," GREENCHOP (TONS)",,,,,,
507,"d","",,,,,,
507,"d","United States",3,72,1920,-,-,-
507,"d","",,,,,,
507,"d","Nevada",3,72,1920,-,-,-
507,"d","",,,,,,
507,"d","DRY EDIBLE BEANS, ALL",,,,,,
507,"d"," INCLUDING LIMAS (CWT)",,,,,,
507,"d","",,,,,,
507,"d","United States",4,48,3392,-,-,-
507,"d","",,,,,,
507,"d","Georgia",-,-,-,-,-,-
507,"d","Maine",2,"(D)","(D)",-,-,-
507,"d","Oregon",2,"(D)","(D)",-,-,-
507,"d","",,,,,,
507,"d","DRY EDIBLE BEANS, OTHER (CWT)",,,,,,
507,"d","",,,,,,
507,"d","United States",4,48,3392,-,-,-
507,"d","",,,,,,
507,"d","Georgia",-,-,-,-,-,-
507,"d","Maine",2,"(D)","(D)",-,-,-
507,"d","Oregon",2,"(D)","(D)",-,-,-
507,"d","",,,,,,
507,"d","HAY, ALL DRY (TONS)",,,,,,
507,"d","",,,,,,
507,"d","United States",122,1870,350088,68,1384,157073
507,"d","",,,,,,
507,"d","Arkansas",-,-,-,2,"(D)","(D)"
507,"d","California",2,"(D)","(D)",2,"(D)","(D)"
507,"d","Colorado",2,"(D)","(D)",-,-,-
507,"d","Connecticut",5,"(D)","(D)",2,"(D)","(D)"
507,"d","Florida",1,"(D)","(D)",-,-,-
507,"d","",,,,,,
507,"d","Georgia",2,"(D)","(D)",-,-,-
507,"d","Idaho",-,-,-,2,"(D)","(D)"
507,"d","Illinois",2,"(D)","(D)",1,"(D)","(D)"
507,"d","Indiana",6,38,9156,4,246,"(D)"
507,"d","Iowa",3,"(D)","(D)",1,"(D)","(D)"
507,"d","",,,,,,
507,"d","Kansas",-,-,-,2,"(D)","(D)"
507,"d","Kentucky",4,"(D)","(D)",2,"(D)","(D)"
507,"d","Maine",6,80,14998,-,-,-
507,"d","Massachusetts",8,85,"(D)",-,-,-
507,"d","Michigan",3,17,3840,7,90,10472
507,"d","",,,,,,
507,"d","Minnesota",9,203,35727,7,217,21096
507,"d","Missouri",6,"(D)","(D)",1,"(D)","(D)"
507,"d","Nebraska",2,"(D)","(D)",-,-,-
507,"d","New Hampshire",4,116,25360,-,-,-
507,"d","New Jersey",6,"(D)","(D)",6,"(D)","(D)"
507,"d","",,,,,,
507,"d","New York",12,298,"(D)",3,22,"(D)"
507,"d","Ohio",-,-,-,4,224,"(D)"
507,"d","Oregon",-,-,-,2,"(D)","(D)"
507,"d","Pennsylvania",6,69,17680,-,-,-
507,"d","Rhode Island",1,"(D)","(D)",-,-,-
507,"c",""
507,"c","--continued"
