514,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
514,"t","Table 66.  Organic Floriculture Crops, Nursery Crops, Propagative Materials, and Mushrooms Produced and Value of Sales – Exempt Organic Farms:  2014"
514,"t","[For meaning of abbreviations and symbols, see introductory text.]"
514,"h","","","","","","",""
514,"h","","Under glass or other protection","Under glass or other protection","In the open","In the open","Value of sales","Value of sales"
514,"h","","","","","","",""
514,"h","Crop and geographic area","Farms","Square feet","Farms","Acres","Farms","Dollars"
514,"h","","","","","","",""
514,"d","FLORICULTURE AND BEDDING",,,,,,
514,"d"," CROPS",,,,,,
514,"d","",,,,,,
514,"d","United States",25,30580,60,51,76,104493
514,"d","",,,,,,
514,"d","Alabama",-,-,3,3,3,600
514,"d","Alaska",1,"(D)",1,"(D)",1,"(D)"
514,"d","California",5,15200,4,2,9,4686
514,"d","Connecticut",-,-,6,1,6,"(D)"
514,"d","Georgia",2,"(D)",2,"(D)",2,"(D)"
514,"d","",,,,,,
514,"d","Hawaii",2,"(D)",4,"(D)",6,9000
514,"d","Illinois",4,10800,-,-,4,8200
514,"d","Indiana",-,-,2,"(D)",2,"(D)"
514,"d","Kentucky",-,-,2,"(D)",2,"(D)"
514,"d","Massachusetts",-,-,4,4,4,1200
514,"d","",,,,,,
514,"d","Michigan",-,-,4,"(D)",4,"(D)"
514,"d","New Hampshire",-,-,2,"(D)",2,"(D)"
514,"d","New York",-,-,9,10,9,25412
514,"d","Oregon",1,"(D)",2,"(D)",3,1714
514,"d","Pennsylvania",-,-,1,"(D)",1,"(D)"
514,"d","",,,,,,
514,"d","South Carolina",2,"(D)",2,"(D)",2,"(D)"
514,"d","Tennessee",2,"(D)",2,"(D)",2,"(D)"
514,"d","Vermont",2,"(D)",-,-,2,"(D)"
514,"d","Washington",-,-,6,3,6,12590
514,"d","West Virginia",-,-,2,"(D)",2,"(D)"
514,"d","Wisconsin",4,640,2,"(D)",4,2100
514,"d","",,,,,,
514,"d","NURSERY CROPS, INCLUDING AQUATIC",,,,,,
514,"d"," PLANTS",,,,,,
514,"d","",,,,,,
514,"d","United States",6,624,28,32,32,63776
514,"d","",,,,,,
514,"d","California",-,-,5,3,5,10100
514,"d","Massachusetts",-,-,4,"(D)",4,"(D)"
514,"d","Missouri",-,-,2,"(D)",2,"(D)"
514,"d","New Hampshire",-,-,7,1,7,1890
514,"d","North Carolina",-,-,2,"(D)",2,"(D)"
514,"d","",,,,,,
514,"d","Oregon",-,-,2,"(D)",2,"(D)"
514,"d","Tennessee",2,"(D)",2,"(D)",2,"(D)"
514,"d","Vermont",2,"(D)",-,-,2,"(D)"
514,"d","Washington",2,"(D)",2,"(D)",4,1886
514,"d","Wisconsin",-,-,2,"(D)",2,"(D)"
514,"d","",,,,,,
514,"d","PROPAGATIVE MATERIALS SOLD",,,,,,
514,"d","",,,,,,
514,"d","United States",4,3200,13,6,15,16050
514,"d","",,,,,,
514,"d","California",-,-,2,"(D)",2,"(D)"
514,"d","Connecticut",-,-,3,3,3,3000
514,"d","Kentucky",2,"(D)",-,-,2,"(D)"
514,"d","Maine",-,-,1,"(D)",1,"(D)"
514,"d","Massachusetts",-,-,2,"(D)",2,"(D)"
514,"d","",,,,,,
514,"d","North Carolina",-,-,3,1,3,6000
514,"d","Washington",2,"(D)",2,"(D)",2,"(D)"
514,"d","",,,,,,
514,"d","MUSHROOMS",,,,,,
514,"d","",,,,,,
514,"d","United States",12,204058,"(X)","(X)",12,9611
514,"d","",,,,,,
514,"d","California",4,190240,"(X)","(X)",4,760
514,"d","Colorado",1,"(D)","(X)","(X)",1,"(D)"
514,"d","Georgia",1,"(D)","(X)","(X)",1,"(D)"
514,"d","Louisiana",2,"(D)","(X)","(X)",2,"(D)"
514,"d","Missouri",1,"(D)","(X)","(X)",1,"(D)"
514,"d","Vermont",3,13068,"(X)","(X)",3,4200
514,"c",""
