517,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
517,"t","Table 69.  Organic Livestock and Poultry Inventory and Sales – Exempt Organic Farms:  2014"
517,"t","[For meaning of abbreviations and symbols, see introductory text.]"
517,"h","","","","","","",""
517,"h","","","","","Value of sales","Value of sales","Value of sales"
517,"h","","","","","","",""
517,"h","","Inventory","Inventory","Inventory","Total","Total","Total"
517,"h","","","","","","",""
517,"h","","","","December 31,","","",""
517,"h","Commodity and geographic area","Farms","Peak","2014","Farms","Quantity","Dollars"
517,"h","","","","","","",""
517,"d","MILK COWS",,,,,,
517,"d","",,,,,,
517,"d","United States",10,17,13,4,"(D)",9864
517,"d","",,,,,,
517,"d","Colorado",3,6,6,-,-,-
517,"d","New York",2,"(D)",-,2,"(D)","(D)"
517,"d","Vermont",1,"(D)","(D)",-,-,-
517,"d","West Virginia",2,"(D)","(D)",2,"(D)","(D)"
517,"d","Wisconsin",2,"(D)","(D)",-,-,-
517,"d","",,,,,,
517,"d","BEEF COWS",,,,,,
517,"d","",,,,,,
517,"d","United States",65,476,386,44,89,155392
517,"d","",,,,,,
517,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
517,"d","Georgia",4,60,54,2,"(D)","(D)"
517,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)"
517,"d","Illinois",5,30,26,4,"(D)",19894
517,"d","Indiana",4,"(D)","(D)",4,"(D)","(D)"
517,"d","",,,,,,
517,"d","Maine",2,"(D)",-,-,-,-
517,"d","Massachusetts",4,28,22,4,"(D)","(D)"
517,"d","Minnesota",1,"(D)","(D)",-,-,-
517,"d","New Jersey",1,"(D)","(D)",-,-,-
517,"d","New York",7,57,39,5,9,18900
517,"d","",,,,,,
517,"d","Ohio",4,47,43,3,"(D)",5800
517,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
517,"d","Pennsylvania",1,"(D)","(D)",-,-,-
517,"d","Texas",6,"(D)","(D)",2,"(D)","(D)"
517,"d","Vermont",6,34,19,5,9,18000
517,"d","",,,,,,
517,"d","Washington",7,55,40,6,15,26802
517,"d","Wisconsin",7,73,70,3,7,13600
517,"d","",,,,,,
517,"d","OTHER ORGANIC CATTLE AND",,,,,,
517,"d"," CALVES (SEE TEXT)",,,,,,
517,"d","",,,,,,
517,"d","United States",48,311,214,24,111,76650
517,"d","",,,,,,
517,"d","Colorado",3,9,3,-,-,-
517,"d","Georgia",2,"(D)","(D)",-,-,-
517,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)"
517,"d","Maine",2,"(D)","(D)",2,"(D)","(D)"
517,"d","Massachusetts",1,"(D)","(D)",-,-,-
517,"d","",,,,,,
517,"d","Missouri",2,"(D)","(D)",-,-,-
517,"d","New Jersey",1,"(D)",-,-,-,-
517,"d","New York",5,20,"(D)",1,"(D)","(D)"
517,"d","Ohio",4,43,41,1,"(D)","(D)"
517,"d","Pennsylvania",4,"(D)",10,1,"(D)","(D)"
517,"d","",,,,,,
517,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)"
517,"d","Texas",1,"(D)","(D)",1,"(D)","(D)"
517,"d","Vermont",5,26,14,2,"(D)","(D)"
517,"d","Washington",3,6,6,3,3,3000
517,"d","West Virginia",2,"(D)","(D)",-,-,-
517,"d","Wisconsin",10,92,75,10,33,36048
517,"d","",,,,,,
517,"d","HOGS AND PIGS",,,,,,
517,"d","",,,,,,
517,"d","United States",38,376,121,28,186,46525
517,"d","",,,,,,
517,"d","Georgia",2,"(D)",-,2,"(D)","(D)"
517,"d","Illinois",1,"(D)","(D)",1,"(D)","(D)"
517,"d","Indiana",3,10,"(D)",3,"(D)",3300
517,"d","Maine",3,42,42,3,51,10200
517,"d","Massachusetts",3,3,-,3,3,897
517,"d","",,,,,,
517,"d","New Jersey",1,"(D)","(D)",-,-,-
517,"d","New York",6,69,11,3,58,11200
517,"d","North Carolina",2,"(D)",-,2,"(D)","(D)"
517,"c",""
517,"c","--continued"
