523,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
523,"t","Table 69.  Organic Livestock and Poultry Inventory and Sales – Exempt Organic Farms:  2014 (continued)"
523,"t","[For meaning of abbreviations and symbols, see introductory text.]"
523,"h","","","","","","",""
523,"h","","","","","Value of sales","Value of sales","Value of sales"
523,"h","","","","","","",""
523,"h","","Inventory","Inventory","Inventory","Total","Total","Total"
523,"h","","","","","","",""
523,"h","","","","December 31,","","",""
523,"h","Commodity and geographic area","Farms","Peak","2014","Farms","Quantity","Dollars"
523,"h","","","","","","",""
523,"d","CHICKENS - BROILERS - Con.",,,,,,
523,"d","",,,,,,
523,"d","Vermont",3,120,-,3,300,3300
523,"d","Washington",6,405,"(D)",6,382,6049
523,"d","Wisconsin",14,624,-,6,320,4825
523,"d","",,,,,,
523,"d","TURKEYS",,,,,,
523,"d","",,,,,,
523,"d","United States",36,490,94,27,353,18555
523,"d","",,,,,,
523,"d","California",2,"(D)","(D)",2,"(D)","(D)"
523,"d","Illinois",2,"(D)",-,2,"(D)","(D)"
523,"d","Indiana",1,"(D)","(D)",-,-,-
523,"d","Massachusetts",1,"(D)","(D)",-,-,-
523,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
523,"d","",,,,,,
523,"d","New Hampshire",6,120,-,6,78,4800
523,"d","New York",1,"(D)",-,1,"(D)","(D)"
523,"d","Ohio",3,18,-,3,15,732
523,"d","South Carolina",3,90,15,3,120,6720
523,"d","Texas",4,50,-,4,34,1900
523,"d","",,,,,,
523,"d","Vermont",3,14,"(D)",2,"(D)","(D)"
523,"d","Washington",6,36,"(D)",-,-,-
523,"d","Wisconsin",2,"(D)",-,2,"(D)","(D)"
523,"d","",,,,,,
523,"d","OTHER ORGANIC POULTRY",,,,,,
523,"d"," (SEE TEXT)",,,,,,
523,"d","",,,,,,
523,"d","United States",28,"(X)","(X)",16,"(X)",2271
523,"d","",,,,,,
523,"d","Georgia",2,"(X)","(X)",-,"(X)",-
523,"d","Maine",3,"(X)","(X)",-,"(X)",-
523,"d","New Jersey",3,"(X)","(X)",-,"(X)",-
523,"d","New York",3,"(X)","(X)",1,"(X)","(D)"
523,"d","Pennsylvania",2,"(X)","(X)",2,"(X)","(D)"
523,"d","",,,,,,
523,"d","Texas",2,"(X)","(X)",-,"(X)",-
523,"d","Vermont",5,"(X)","(X)",5,"(X)",1100
523,"d","Washington",6,"(X)","(X)",6,"(X)",450
523,"d","Wisconsin",2,"(X)","(X)",2,"(X)","(D)"
523,"c",""
523,"c","--continued"
