531,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
531,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014"
531,"t","[For meaning of abbreviations and symbols, see introductory text.]"
531,"h","","","","","","","",""
531,"h","Item","","United States","Alabama","Alaska","Arizona","Arkansas","California"
531,"h","","","","","","","",""
531,"d","Total organic production expenses","farms",1459,13,10,-,8,173
531,"d","","$1,000",6997,70,19,-,37,1221
531,"d","    Average per farm","dollars",4796,5413,1864,-,4591,7060
531,"d","","",,,,,,
531,"d","  Organic certification expense","farms",-,-,-,-,-,-
531,"d","","$1,000",-,-,-,-,-,-
531,"d","  Fertilizer, lime, and soil conditioners","farms",833,6,9,-,1,87
531,"d","","$1,000",407,3,4,-,"(D)",82
531,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
531,"d","   and other organic materials for pest","",,,,,,
531,"d","   control","farms",540,6,4,-,2,51
531,"d","","$1,000",131,"(D)","(Z)",-,"(D)",23
531,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
531,"d","   purchased for the farm business","farms",1238,13,10,-,8,153
531,"d","","$1,000",509,11,2,-,2,72
531,"d","  Seed, plants, vines, trees, etc.","",,,,,,
531,"d","   purchased","farms",947,8,10,-,1,75
531,"d","","$1,000",378,4,2,-,"(D)",63
531,"d","","",,,,,,
531,"d","  Hired agricultural labor including","",,,,,,
531,"d","   contract labor (include wages","",,,,,,
531,"d","   and benefit expenses)","farms",420,7,1,-,3,69
531,"d","","$1,000",572,11,"(D)",-,7,116
531,"d","  Livestock purchased or leased","",,,,,,
531,"d","   (see text)","farms",192,-,1,-,-,12
531,"d","","$1,000",89,-,"(D)",-,-,2
531,"d","  Feed purchased for livestock and","",,,,,,
531,"d","   poultry","farms",340,-,1,-,1,23
531,"d","","$1,000",539,-,"(D)",-,"(D)",17
531,"d","  Interest paid on all debt related to the","",,,,,,
531,"d","   farm business","farms",243,4,2,-,1,25
531,"d","","$1,000",378,1,"(D)",-,"(D)",146
531,"d","  Property taxes paid in 2014","farms",1165,6,5,-,8,152
531,"d","","$1,000",1368,1,"(D)",-,5,223
531,"d","","",,,,,,
531,"d","  Rent and lease expenses for land,","",,,,,,
531,"d","   buildings, machinery, etc. - including","",,,,,,
531,"d","   grazing fees","farms",154,-,1,-,-,23
531,"d","","$1,000",334,-,"(D)",-,-,88
531,"d","  Customwork such as custom","",,,,,,
531,"d","   hauling, custom planting, custom","",,,,,,
531,"d","   harvesting, etc.","farms",241,2,-,-,3,26
531,"d","","$1,000",162,"(D)",-,-,"(D)",18
531,"d","  Repairs, supplies, and maintenance","",,,,,,
531,"d","   costs","farms",1119,9,5,-,5,138
531,"d","","$1,000",901,9,1,-,2,109
531,"d","  Utilities expense (including water","",,,,,,
531,"d","   purchased)","farms",798,8,5,-,3,124
531,"d","","$1,000",540,7,1,-,2,171
531,"d","  All other production expenses - Include","",,,,,,
531,"d","   animal health cost, storage, marketing","",,,,,,
531,"d","   expenses, etc. (see text)","farms",655,6,1,-,2,67
531,"d","","$1,000",689,6,"(D)",-,"(D)",92
531,"c",""
531,"c","--continued"
