532,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
532,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
532,"t","[For meaning of abbreviations and symbols, see introductory text.]"
532,"h","","","","","","","",""
532,"h","Item","","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii"
532,"h","","","","","","","",""
532,"d","Total organic production expenses","farms",23,44,4,20,31,45
532,"d","","$1,000",70,175,16,230,111,167
532,"d","    Average per farm","dollars",3027,3972,4065,11504,3567,3711
532,"d","","",,,,,,
532,"d","  Organic certification expense","farms",-,-,-,-,-,-
532,"d","","$1,000",-,-,-,-,-,-
532,"d","  Fertilizer, lime, and soil conditioners","farms",14,24,3,16,18,32
532,"d","","$1,000",2,15,1,12,8,13
532,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
532,"d","   and other organic materials for pest","",,,,,,
532,"d","   control","farms",4,14,2,11,17,23
532,"d","","$1,000","(Z)","(D)","(D)",2,7,6
532,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
532,"d","   purchased for the farm business","farms",21,41,4,14,31,37
532,"d","","$1,000",3,18,1,5,"(D)",11
532,"d","  Seed, plants, vines, trees, etc.","",,,,,,
532,"d","   purchased","farms",11,37,3,15,20,18
532,"d","","$1,000",2,15,1,3,5,6
532,"d","","",,,,,,
532,"d","  Hired agricultural labor including","",,,,,,
532,"d","   contract labor (include wages","",,,,,,
532,"d","   and benefit expenses)","farms",3,2,2,11,12,12
532,"d","","$1,000",5,"(D)","(D)",40,3,18
532,"d","  Livestock purchased or leased","",,,,,,
532,"d","   (see text)","farms",-,7,1,3,6,-
532,"d","","$1,000",-,"(D)","(D)","(D)",1,-
532,"d","  Feed purchased for livestock and","",,,,,,
532,"d","   poultry","farms",7,12,1,10,8,-
532,"d","","$1,000",16,32,"(D)","(D)",15,-
532,"d","  Interest paid on all debt related to the","",,,,,,
532,"d","   farm business","farms",-,-,-,4,12,4
532,"d","","$1,000",-,-,-,40,9,6
532,"d","  Property taxes paid in 2014","farms",18,33,4,20,26,29
532,"d","","$1,000",18,35,4,29,23,28
532,"d","","",,,,,,
532,"d","  Rent and lease expenses for land,","",,,,,,
532,"d","   buildings, machinery, etc. - including","",,,,,,
532,"d","   grazing fees","farms",-,8,-,7,2,9
532,"d","","$1,000",-,6,-,3,"(D)",10
532,"d","  Customwork such as custom","",,,,,,
532,"d","   hauling, custom planting, custom","",,,,,,
532,"d","   harvesting, etc.","farms",-,3,2,-,10,9
532,"d","","$1,000",-,1,"(D)",-,3,5
532,"d","  Repairs, supplies, and maintenance","",,,,,,
532,"d","   costs","farms",19,34,3,18,17,28
532,"d","","$1,000",4,22,1,15,17,13
532,"d","  Utilities expense (including water","",,,,,,
532,"d","   purchased)","farms",15,20,2,15,15,32
532,"d","","$1,000",11,9,"(D)",7,3,39
532,"d","  All other production expenses - Include","",,,,,,
532,"d","   animal health cost, storage, marketing","",,,,,,
532,"d","   expenses, etc. (see text)","farms",12,18,3,17,21,17
532,"d","","$1,000",10,7,"(D)",61,9,12
532,"c",""
532,"c","--continued"
