533,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
533,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
533,"t","[For meaning of abbreviations and symbols, see introductory text.]"
533,"h","","","","","","","",""
533,"h","Item","","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky"
533,"h","","","","","","","",""
533,"d","Total organic production expenses","farms",10,34,31,19,6,21
533,"d","","$1,000",18,197,90,47,19,144
533,"d","    Average per farm","dollars",1809,5783,2918,2493,3128,6835
533,"d","","",,,,,,
533,"d","  Organic certification expense","farms",-,-,-,-,-,-
533,"d","","$1,000",-,-,-,-,-,-
533,"d","  Fertilizer, lime, and soil conditioners","farms",2,24,19,6,2,8
533,"d","","$1,000","(D)",11,9,2,"(D)",1
533,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
533,"d","   and other organic materials for pest","",,,,,,
533,"d","   control","farms",4,24,9,8,4,11
533,"d","","$1,000","(Z)",8,1,1,"(D)",1
533,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
533,"d","   purchased for the farm business","farms",8,32,25,16,4,17
533,"d","","$1,000",2,22,6,3,"(Z)",4
533,"d","  Seed, plants, vines, trees, etc.","",,,,,,
533,"d","   purchased","farms",4,31,14,17,4,18
533,"d","","$1,000",1,13,4,5,"(Z)",3
533,"d","","",,,,,,
533,"d","  Hired agricultural labor including","",,,,,,
533,"d","   contract labor (include wages","",,,,,,
533,"d","   and benefit expenses)","farms",4,11,9,2,2,6
533,"d","","$1,000","(Z)",7,7,"(D)","(D)",3
533,"d","  Livestock purchased or leased","",,,,,,
533,"d","   (see text)","farms",2,1,5,-,-,-
533,"d","","$1,000","(D)","(D)",6,-,-,-
533,"d","  Feed purchased for livestock and","",,,,,,
533,"d","   poultry","farms",2,3,8,2,4,4
533,"d","","$1,000","(D)","(Z)",4,"(D)",2,2
533,"d","  Interest paid on all debt related to the","",,,,,,
533,"d","   farm business","farms",2,11,8,3,-,7
533,"d","","$1,000","(D)",6,2,7,-,20
533,"d","  Property taxes paid in 2014","farms",10,31,24,18,4,15
533,"d","","$1,000",5,"(D)",20,5,6,5
533,"d","","",,,,,,
533,"d","  Rent and lease expenses for land,","",,,,,,
533,"d","   buildings, machinery, etc. - including","",,,,,,
533,"d","   grazing fees","farms",-,8,5,-,-,-
533,"d","","$1,000",-,4,3,-,-,-
533,"d","  Customwork such as custom","",,,,,,
533,"d","   hauling, custom planting, custom","",,,,,,
533,"d","   harvesting, etc.","farms",-,11,6,-,4,-
533,"d","","$1,000",-,"(D)",7,-,4,-
533,"d","  Repairs, supplies, and maintenance","",,,,,,
533,"d","   costs","farms",8,27,22,14,4,17
533,"d","","$1,000",4,40,11,11,"(Z)",33
533,"d","  Utilities expense (including water","",,,,,,
533,"d","   purchased)","farms",2,22,8,6,4,17
533,"d","","$1,000","(D)",5,7,3,2,9
533,"d","  All other production expenses - Include","",,,,,,
533,"d","   animal health cost, storage, marketing","",,,,,,
533,"d","   expenses, etc. (see text)","farms",6,10,13,6,4,12
533,"d","","$1,000","(Z)","(D)",3,2,1,61
533,"c",""
533,"c","--continued"
