534,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
534,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
534,"t","[For meaning of abbreviations and symbols, see introductory text.]"
534,"h","","","","","","","",""
534,"h","Item","","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota"
534,"h","","","","","","","",""
534,"d","Total organic production expenses","farms",9,73,10,48,44,37
534,"d","","$1,000",22,356,33,293,121,136
534,"d","    Average per farm","dollars",2458,4880,3309,6112,2740,3679
534,"d","","",,,,,,
534,"d","  Organic certification expense","farms",-,-,-,-,-,-
534,"d","","$1,000",-,-,-,-,-,-
534,"d","  Fertilizer, lime, and soil conditioners","farms",4,38,4,27,23,17
534,"d","","$1,000","(D)",22,"(Z)",36,6,4
534,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
534,"d","   and other organic materials for pest","",,,,,,
534,"d","   control","farms",2,40,8,13,13,14
534,"d","","$1,000","(D)",2,"(Z)",2,1,"(D)"
534,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
534,"d","   purchased for the farm business","farms",7,69,6,42,33,27
534,"d","","$1,000",3,25,4,10,6,11
534,"d","  Seed, plants, vines, trees, etc.","",,,,,,
534,"d","   purchased","farms",4,50,6,35,27,30
534,"d","","$1,000","(D)",13,1,12,6,13
534,"d","","",,,,,,
534,"d","  Hired agricultural labor including","",,,,,,
534,"d","   contract labor (include wages","",,,,,,
534,"d","   and benefit expenses)","farms",-,30,-,14,13,9
534,"d","","$1,000",-,22,-,25,4,9
534,"d","  Livestock purchased or leased","",,,,,,
534,"d","   (see text)","farms",-,6,5,6,4,2
534,"d","","$1,000",-,1,1,"(D)",1,"(D)"
534,"d","  Feed purchased for livestock and","",,,,,,
534,"d","   poultry","farms",-,16,6,19,14,-
534,"d","","$1,000",-,21,4,45,"(D)",-
534,"d","  Interest paid on all debt related to the","",,,,,,
534,"d","   farm business","farms",-,18,-,2,5,13
534,"d","","$1,000",-,10,-,"(D)",4,13
534,"d","  Property taxes paid in 2014","farms",9,50,9,38,29,37
534,"d","","$1,000",6,79,11,95,31,51
534,"d","","",,,,,,
534,"d","  Rent and lease expenses for land,","",,,,,,
534,"d","   buildings, machinery, etc. - including","",,,,,,
534,"d","   grazing fees","farms",-,13,3,4,5,-
534,"d","","$1,000",-,60,2,"(Z)","(Z)",-
534,"d","  Customwork such as custom","",,,,,,
534,"d","   hauling, custom planting, custom","",,,,,,
534,"d","   harvesting, etc.","farms",-,10,2,7,11,7
534,"d","","$1,000",-,4,"(D)",3,"(D)",2
534,"d","  Repairs, supplies, and maintenance","",,,,,,
534,"d","   costs","farms",4,54,8,25,35,27
534,"d","","$1,000",1,63,4,18,16,15
534,"d","  Utilities expense (including water","",,,,,,
534,"d","   purchased)","farms",7,23,2,30,19,14
534,"d","","$1,000",2,8,"(D)",14,9,7
534,"d","  All other production expenses - Include","",,,,,,
534,"d","   animal health cost, storage, marketing","",,,,,,
534,"d","   expenses, etc. (see text)","farms",2,32,4,32,18,15
534,"d","","$1,000","(D)",26,3,33,3,9
534,"c",""
534,"c","--continued"
