535,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
535,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
535,"t","[For meaning of abbreviations and symbols, see introductory text.]"
535,"h","","","","","","","",""
535,"h","Item","","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire"
535,"h","","","","","","","",""
535,"d","Total organic production expenses","farms",-,32,9,4,4,38
535,"d","","$1,000",-,113,11,40,3,163
535,"d","    Average per farm","dollars",-,3528,1203,10033,682,4302
535,"d","","",,,,,,
535,"d","  Organic certification expense","farms",-,-,-,-,-,-
535,"d","","$1,000",-,-,-,-,-,-
535,"d","  Fertilizer, lime, and soil conditioners","farms",-,19,5,-,1,31
535,"d","","$1,000",-,6,1,-,"(D)",9
535,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
535,"d","   and other organic materials for pest","",,,,,,
535,"d","   control","farms",-,10,7,2,1,18
535,"d","","$1,000",-,1,1,"(D)","(D)",4
535,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
535,"d","   purchased for the farm business","farms",-,29,5,4,1,34
535,"d","","$1,000",-,8,"(Z)",2,"(D)",7
535,"d","  Seed, plants, vines, trees, etc.","",,,,,,
535,"d","   purchased","farms",-,27,8,-,1,31
535,"d","","$1,000",-,6,1,-,"(D)",12
535,"d","","",,,,,,
535,"d","  Hired agricultural labor including","",,,,,,
535,"d","   contract labor (include wages","",,,,,,
535,"d","   and benefit expenses)","farms",-,12,2,-,4,10
535,"d","","$1,000",-,8,"(D)",-,1,36
535,"d","  Livestock purchased or leased","",,,,,,
535,"d","   (see text)","farms",-,7,-,2,-,6
535,"d","","$1,000",-,6,-,"(D)",-,2
535,"d","  Feed purchased for livestock and","",,,,,,
535,"d","   poultry","farms",-,7,2,2,-,18
535,"d","","$1,000",-,4,"(D)","(D)",-,16
535,"d","  Interest paid on all debt related to the","",,,,,,
535,"d","   farm business","farms",-,10,-,-,1,4
535,"d","","$1,000",-,7,-,-,"(D)",1
535,"d","  Property taxes paid in 2014","farms",-,30,5,4,4,21
535,"d","","$1,000",-,15,1,18,"(D)",26
535,"d","","",,,,,,
535,"d","  Rent and lease expenses for land,","",,,,,,
535,"d","   buildings, machinery, etc. - including","",,,,,,
535,"d","   grazing fees","farms",-,6,-,-,-,-
535,"d","","$1,000",-,8,-,-,-,-
535,"d","  Customwork such as custom","",,,,,,
535,"d","   hauling, custom planting, custom","",,,,,,
535,"d","   harvesting, etc.","farms",-,7,-,4,-,4
535,"d","","$1,000",-,2,-,1,-,1
535,"d","  Repairs, supplies, and maintenance","",,,,,,
535,"d","   costs","farms",-,32,4,4,1,22
535,"d","","$1,000",-,14,1,7,"(D)",22
535,"d","  Utilities expense (including water","",,,,,,
535,"d","   purchased)","farms",-,21,3,4,1,20
535,"d","","$1,000",-,12,1,1,"(D)",10
535,"d","  All other production expenses - Include","",,,,,,
535,"d","   animal health cost, storage, marketing","",,,,,,
535,"d","   expenses, etc. (see text)","farms",-,15,4,2,4,20
535,"d","","$1,000",-,16,2,"(D)","(Z)",18
535,"c",""
535,"c","--continued"
