536,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
536,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
536,"t","[For meaning of abbreviations and symbols, see introductory text.]"
536,"h","","","","","","","",""
536,"h","Item","","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio"
536,"h","","","","","","","",""
536,"d","Total organic production expenses","farms",27,11,62,64,-,42
536,"d","","$1,000",202,24,333,152,-,163
536,"d","    Average per farm","dollars",7498,2140,5366,2370,-,3887
536,"d","","",,,,,,
536,"d","  Organic certification expense","farms",-,-,-,-,-,-
536,"d","","$1,000",-,-,-,-,-,-
536,"d","  Fertilizer, lime, and soil conditioners","farms",16,11,41,48,-,24
536,"d","","$1,000","(D)",1,22,12,-,8
536,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
536,"d","   and other organic materials for pest","",,,,,,
536,"d","   control","farms",12,2,16,21,-,7
536,"d","","$1,000",3,"(D)",4,3,-,5
536,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
536,"d","   purchased for the farm business","farms",25,6,56,58,-,36
536,"d","","$1,000","(D)","(Z)",21,25,-,13
536,"d","  Seed, plants, vines, trees, etc.","",,,,,,
536,"d","   purchased","farms",19,6,48,58,-,21
536,"d","","$1,000",6,3,25,17,-,7
536,"d","","",,,,,,
536,"d","  Hired agricultural labor including","",,,,,,
536,"d","   contract labor (include wages","",,,,,,
536,"d","   and benefit expenses)","farms",6,5,8,19,-,18
536,"d","","$1,000","(D)",2,12,8,-,14
536,"d","  Livestock purchased or leased","",,,,,,
536,"d","   (see text)","farms",4,-,12,7,-,12
536,"d","","$1,000","(D)",-,13,1,-,6
536,"d","  Feed purchased for livestock and","",,,,,,
536,"d","   poultry","farms",8,-,12,11,-,15
536,"d","","$1,000",12,-,21,9,-,21
536,"d","  Interest paid on all debt related to the","",,,,,,
536,"d","   farm business","farms",5,5,10,2,-,-
536,"d","","$1,000","(Z)","(Z)",20,"(D)",-,-
536,"d","  Property taxes paid in 2014","farms",26,11,47,50,-,34
536,"d","","$1,000","(D)",12,86,"(D)",-,"(D)"
536,"d","","",,,,,,
536,"d","  Rent and lease expenses for land,","",,,,,,
536,"d","   buildings, machinery, etc. - including","",,,,,,
536,"d","   grazing fees","farms",2,-,4,5,-,1
536,"d","","$1,000","(D)",-,2,3,-,"(D)"
536,"d","  Customwork such as custom","",,,,,,
536,"d","   hauling, custom planting, custom","",,,,,,
536,"d","   harvesting, etc.","farms",-,2,11,5,-,15
536,"d","","$1,000",-,"(D)",14,"(Z)",-,10
536,"d","  Repairs, supplies, and maintenance","",,,,,,
536,"d","   costs","farms",19,9,56,55,-,39
536,"d","","$1,000","(D)",2,66,34,-,20
536,"d","  Utilities expense (including water","",,,,,,
536,"d","   purchased)","farms",12,11,29,29,-,16
536,"d","","$1,000",7,1,15,7,-,8
536,"d","  All other production expenses - Include","",,,,,,
536,"d","   animal health cost, storage, marketing","",,,,,,
536,"d","   expenses, etc. (see text)","farms",10,2,32,19,-,20
536,"d","","$1,000",10,"(D)",14,7,-,8
536,"c",""
536,"c","--continued"
