537,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
537,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
537,"t","[For meaning of abbreviations and symbols, see introductory text.]"
537,"h","","","","","","",""
537,"h","Item","","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina"
537,"h","","","","","","",""
537,"d","Total organic production expenses","farms",10,70,26,1,12
537,"d","","$1,000",28,275,134,"(D)",52
537,"d","    Average per farm","dollars",2783,3924,5161,"(D)",4310
537,"d","","",,,,,
537,"d","  Organic certification expense","farms",-,-,-,-,-
537,"d","","$1,000",-,-,-,-,-
537,"d","  Fertilizer, lime, and soil conditioners","farms",7,45,14,-,7
537,"d","","$1,000",2,18,7,-,2
537,"d","  Agricultural chemicals, beneficial insects,","",,,,,
537,"d","   and other organic materials for pest","",,,,,
537,"d","   control","farms",4,20,11,-,6
537,"d","","$1,000","(Z)",8,2,-,"(Z)"
537,"d","  Gasoline, diesel, fuels, and oils","",,,,,
537,"d","   purchased for the farm business","farms",7,61,14,-,7
537,"d","","$1,000",2,19,10,-,2
537,"d","  Seed, plants, vines, trees, etc.","",,,,,
537,"d","   purchased","farms",7,46,10,1,7
537,"d","","$1,000",3,18,7,"(D)",5
537,"d","","",,,,,
537,"d","  Hired agricultural labor including","",,,,,
537,"d","   contract labor (include wages","",,,,,
537,"d","   and benefit expenses)","farms",3,21,-,-,4
537,"d","","$1,000",2,29,-,-,1
537,"d","  Livestock purchased or leased","",,,,,
537,"d","   (see text)","farms",3,7,8,-,10
537,"d","","$1,000","(D)",1,2,-,3
537,"d","  Feed purchased for livestock and","",,,,,
537,"d","   poultry","farms",2,12,10,-,10
537,"d","","$1,000","(D)",15,14,-,11
537,"d","  Interest paid on all debt related to the","",,,,,
537,"d","   farm business","farms",2,11,9,-,-
537,"d","","$1,000","(D)",5,"(D)",-,-
537,"d","  Property taxes paid in 2014","farms",7,60,21,-,7
537,"d","","$1,000",3,44,38,-,7
537,"d","","",,,,,
537,"d","  Rent and lease expenses for land,","",,,,,
537,"d","   buildings, machinery, etc. - including","",,,,,
537,"d","   grazing fees","farms",-,10,-,-,-
537,"d","","$1,000",-,15,-,-,-
537,"d","  Customwork such as custom","",,,,,
537,"d","   hauling, custom planting, custom","",,,,,
537,"d","   harvesting, etc.","farms",3,13,8,1,-
537,"d","","$1,000",1,3,"(D)","(D)",-
537,"d","  Repairs, supplies, and maintenance","",,,,,
537,"d","   costs","farms",5,64,21,1,7
537,"d","","$1,000",7,48,32,"(D)",20
537,"d","  Utilities expense (including water","",,,,,
537,"d","   purchased)","farms",5,38,15,-,7
537,"d","","$1,000",4,23,7,-,1
537,"d","  All other production expenses - Include","",,,,,
537,"d","   animal health cost, storage, marketing","",,,,,
537,"d","   expenses, etc. (see text)","farms",8,27,18,-,7
537,"d","","$1,000",2,29,7,-,2
537,"c",""
537,"c","--continued"
