538,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
538,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
538,"t","[For meaning of abbreviations and symbols, see introductory text.]"
538,"h","","","","","","",""
538,"h","Item","","South Dakota","Tennessee","Texas","Utah","Vermont"
538,"h","","","","","","",""
538,"d","Total organic production expenses","farms",2,24,56,-,36
538,"d","","$1,000","(D)",64,246,-,272
538,"d","    Average per farm","dollars","(D)",2647,4392,-,7554
538,"d","","",,,,,
538,"d","  Organic certification expense","farms",-,-,-,-,-
538,"d","","$1,000",-,-,-,-,-
538,"d","  Fertilizer, lime, and soil conditioners","farms",1,14,34,-,19
538,"d","","$1,000","(D)",2,16,-,13
538,"d","  Agricultural chemicals, beneficial insects,","",,,,,
538,"d","   and other organic materials for pest","",,,,,
538,"d","   control","farms",-,10,33,-,16
538,"d","","$1,000",-,1,6,-,"(D)"
538,"d","  Gasoline, diesel, fuels, and oils","",,,,,
538,"d","   purchased for the farm business","farms",1,18,50,-,20
538,"d","","$1,000","(D)",5,28,-,7
538,"d","  Seed, plants, vines, trees, etc.","",,,,,
538,"d","   purchased","farms",-,11,38,-,20
538,"d","","$1,000",-,2,12,-,12
538,"d","","",,,,,
538,"d","  Hired agricultural labor including","",,,,,
538,"d","   contract labor (include wages","",,,,,
538,"d","   and benefit expenses)","farms",2,9,11,-,13
538,"d","","$1,000","(D)",3,1,-,112
538,"d","  Livestock purchased or leased","",,,,,
538,"d","   (see text)","farms",-,2,6,-,8
538,"d","","$1,000",-,"(D)","(Z)",-,11
538,"d","  Feed purchased for livestock and","",,,,,
538,"d","   poultry","farms",-,3,14,-,15
538,"d","","$1,000",-,9,19,-,34
538,"d","  Interest paid on all debt related to the","",,,,,
538,"d","   farm business","farms",-,-,12,-,6
538,"d","","$1,000",-,-,22,-,2
538,"d","  Property taxes paid in 2014","farms",2,20,47,-,24
538,"d","","$1,000","(D)",7,59,-,38
538,"d","","",,,,,
538,"d","  Rent and lease expenses for land,","",,,,,
538,"d","   buildings, machinery, etc. - including","",,,,,
538,"d","   grazing fees","farms",1,2,3,-,9
538,"d","","$1,000","(D)","(D)",2,-,4
538,"d","  Customwork such as custom","",,,,,
538,"d","   hauling, custom planting, custom","",,,,,
538,"d","   harvesting, etc.","farms",1,2,11,-,2
538,"d","","$1,000","(D)","(D)",5,-,"(D)"
538,"d","  Repairs, supplies, and maintenance","",,,,,
538,"d","   costs","farms",1,20,48,-,25
538,"d","","$1,000","(D)",12,38,-,25
538,"d","  Utilities expense (including water","",,,,,
538,"d","   purchased)","farms",1,8,36,-,16
538,"d","","$1,000","(D)",1,25,-,5
538,"d","  All other production expenses - Include","",,,,,
538,"d","   animal health cost, storage, marketing","",,,,,
538,"d","   expenses, etc. (see text)","farms",1,9,17,-,18
538,"d","","$1,000","(D)","(D)",14,-,6
538,"c",""
538,"c","--continued"
