539,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
539,"t","Table 73.  Organic Production Expenses – Exempt Organic Farms:  2014 (continued)"
539,"t","[For meaning of abbreviations and symbols, see introductory text.]"
539,"h","","","","","","",""
539,"h","Item","","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
539,"h","","","","","","",""
539,"d","Total organic production expenses","farms",28,73,15,100,-
539,"d","","$1,000",99,465,53,510,-
539,"d","    Average per farm","dollars",3544,6369,3565,5099,-
539,"d","","",,,,,
539,"d","  Organic certification expense","farms",-,-,-,-,-
539,"d","","$1,000",-,-,-,-,-
539,"d","  Fertilizer, lime, and soil conditioners","farms",19,31,15,47,-
539,"d","","$1,000",8,12,"(D)",22,-
539,"d","  Agricultural chemicals, beneficial insects,","",,,,,
539,"d","   and other organic materials for pest","",,,,,
539,"d","   control","farms",11,17,6,26,-
539,"d","","$1,000",4,11,"(D)",7,-
539,"d","  Gasoline, diesel, fuels, and oils","",,,,,
539,"d","   purchased for the farm business","farms",20,61,13,94,-
539,"d","","$1,000",5,43,"(D)",61,-
539,"d","  Seed, plants, vines, trees, etc.","",,,,,
539,"d","   purchased","farms",18,51,13,68,-
539,"d","","$1,000",10,15,9,32,-
539,"d","","",,,,,
539,"d","  Hired agricultural labor including","",,,,,
539,"d","   contract labor (include wages","",,,,,
539,"d","   and benefit expenses)","farms",9,18,4,20,-
539,"d","","$1,000",9,24,7,12,-
539,"d","  Livestock purchased or leased","",,,,,
539,"d","   (see text)","farms",4,13,-,20,-
539,"d","","$1,000",1,4,-,7,-
539,"d","  Feed purchased for livestock and","",,,,,
539,"d","   poultry","farms",4,24,2,28,-
539,"d","","$1,000",6,120,"(D)",29,-
539,"d","  Interest paid on all debt related to the","",,,,,
539,"d","   farm business","farms",4,18,4,19,-
539,"d","","$1,000","(Z)",7,"(D)",33,-
539,"d","  Property taxes paid in 2014","farms",19,48,12,91,-
539,"d","","$1,000","(D)",63,3,115,-
539,"d","","",,,,,
539,"d","  Rent and lease expenses for land,","",,,,,
539,"d","   buildings, machinery, etc. - including","",,,,,
539,"d","   grazing fees","farms",1,14,2,6,-
539,"d","","$1,000","(D)",53,"(D)",4,-
539,"d","  Customwork such as custom","",,,,,
539,"d","   hauling, custom planting, custom","",,,,,
539,"d","   harvesting, etc.","farms",4,10,4,21,-
539,"d","","$1,000",1,6,1,6,-
539,"d","  Repairs, supplies, and maintenance","",,,,,
539,"d","   costs","farms",23,59,8,75,-
539,"d","","$1,000",28,34,"(D)",55,-
539,"d","  Utilities expense (including water","",,,,,
539,"d","   purchased)","farms",14,53,9,57,-
539,"d","","$1,000",5,57,"(D)",24,-
539,"d","  All other production expenses - Include","",,,,,
539,"d","   animal health cost, storage, marketing","",,,,,
539,"d","   expenses, etc. (see text)","farms",12,33,5,54,-
539,"d","","$1,000",4,17,5,101,-
539,"c",""
