554,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
554,"t","Table 75.  Marketing Practices – Exempt Organic Farms:  2014 (continued)"
554,"t","[For meaning of abbreviations and symbols, see introductory text.]"
554,"h","","","","","","","",""
554,"h","","","West Virginia","West Virginia","Wisconsin","Wisconsin","Wyoming","Wyoming"
554,"h","","","","","","","",""
554,"h","","","","Percent","","Percent","","Percent"
554,"h","Item","","Farms","of sales","Farms","of sales","Farms","of sales"
554,"h","","","","","","","",""
554,"d","SALES OUTLETS","",,,,,,
554,"d","","",,,,,,
554,"d","Consumer direct sales","farms",15,"(D)",92,79,-,-
554,"d","Direct-to-retail/Institutions sales","farms",-,-,34,12,-,-
554,"d","Wholesale market sales","farms",2,"(D)",15,9,-,-
554,"d","","",,,,,,
554,"d","FIRST POINT OF SALES","",,,,,,
554,"d","","",,,,,,
554,"d","Locally (within 100 miles)","farms",15,"(D)",98,98,-,-
554,"d","Regionally (more than 100 miles but less","",,,,,,
554,"d"," than 500 miles)","farms",2,"(D)",12,2,-,-
554,"d","Nationally (500 miles or further)","farms",-,-,6,"(Z)",-,-
554,"d","Internationally","farms",-,-,-,-,-,-
554,"d","","",,,,,,
554,"d","OTHER MARKETING INFORMATION","",,,,,,
554,"d","","",,,,,,
554,"d","Sold products through community supported","",,,,,,
554,"d"," agriculture (CSA) shares","farms",4,"(X)",5,"(X)",-,"(X)"
554,"d","Acquired sufficient amount of organic","",,,,,,
554,"d"," seed","farms",11,"(X)",79,"(X)",-,"(X)"
554,"d","Had adequate organic production inputs","",,,,,,
554,"d"," available","farms",6,"(X)",88,"(X)",-,"(X)"
554,"c",""
